device_id,fingerprint,os,model
D-4033,dfp-zwezg3jtey6v,macOS,MacBook Air
D-4034,dfp-18ef5505lsio,macOS,Galaxy S22
D-4035,dfp-t3k82tqs7pmo,macOS,Pixel 7
D-4036,dfp-j8u0qej1b7dx,Linux,Surface Pro 9
D-4037,dfp-qny2opeyjgim,Android,Surface Pro 9
D-4038,dfp-obexp7y7424v,Android,Surface Pro 9
D-4039,dfp-9dosifq51h4u,Windows,MacBook Air
D-4040,dfp-0aih3i0bxle3,Linux,Surface Pro 9
D-4041,dfp-xosoacueklvp,Windows,iPhone 15
D-4042,dfp-69o3tab6f65t,Windows,ThinkPad T14
D-4043,dfp-xnaji17agajc,iOS,iPhone 15
D-4044,dfp-w4inehuyn77o,iOS,iPhone 14
D-4045,dfp-ryqa4j5du4km,iOS,Surface Pro 9
D-4046,dfp-w6gkdetalacs,iOS,Pixel 7
D-4047,dfp-y00cqfdsi57i,Android,Surface Pro 9
D-4048,dfp-kprsjqhrm9p6,Windows,Pixel 7
D-4049,dfp-agx630pdgbb7,iOS,ThinkPad T14
D-4050,dfp-88brns4ubs79,macOS,Surface Pro 9
D-4051,dfp-mv4tkaorcwrl,Windows,iPhone 15
D-4052,dfp-6thekew5f3fa,Windows,iPhone 14
D-4053,dfp-6s2gp1ghvwd9,macOS,iPhone 15
D-4054,dfp-0qtej3y5i02x,Windows,MacBook Air
D-4055,dfp-n5i4xnzmsav1,iOS,iPhone 14
D-4056,dfp-yj1qgn719i3w,Linux,iPhone 14
D-4057,dfp-btnz4jfqh2tx,macOS,Surface Pro 9
D-4058,dfp-z1gofouica5r,Windows,MacBook Air
D-4059,dfp-3e8d3jhl8rtg,Linux,ThinkPad T14
D-4060,dfp-4asdymdmuv6e,Windows,Pixel 7
D-4061,dfp-wb5hj1liubot,Android,ThinkPad T14
D-4062,dfp-5tc6fjccnw7x,iOS,Galaxy S22
D-4063,dfp-mn6kh8ko1urt,Linux,iPhone 15
D-4064,dfp-5hh71ciq23o4,iOS,Surface Pro 9
D-4065,dfp-gz30dot76zkm,Linux,Galaxy S22
D-4066,dfp-ig5lbvnxm2nc,iOS,ThinkPad T14
D-4067,dfp-ys7f3bh8gkdh,iOS,Pixel 7
D-4068,dfp-v8y87juav9dw,Windows,iPhone 15
D-4069,dfp-xuq5raddhbul,iOS,iPhone 14
D-4070,dfp-ih3d1t4d5cvf,Android,ThinkPad T14
D-4071,dfp-wwpbj8cpj2wi,Linux,Pixel 7
D-4072,dfp-45xgygp3d3lo,Linux,ThinkPad T14
D-4073,dfp-l950hr4mvfsv,macOS,Pixel 7
D-4074,dfp-aw1nvfnqkhh5,Windows,ThinkPad T14
D-4075,dfp-f7bc1atei8tr,Windows,iPhone 15
D-4076,dfp-72tf9u8zly1h,iOS,iPhone 15
D-4077,dfp-o3kdwqaq63zm,Linux,iPhone 14
D-4078,dfp-moftzdkjap66,Windows,Surface Pro 9
D-4079,dfp-o2uk6mgszhh4,iOS,iPhone 15
D-4080,dfp-acbzy3u9qo7v,Android,iPhone 14
D-4081,dfp-yujfa1u5iy4c,Android,Galaxy S22
D-4082,dfp-jf2v97elfa9m,Linux,Surface Pro 9
D-4083,dfp-9c54fw6gwzeg,Android,Pixel 7
D-4084,dfp-1egfqpumckcm,Linux,Galaxy S22
D-4085,dfp-bv5wdssz968e,macOS,iPhone 15
D-4086,dfp-kz12c9sgt2yf,Android,Surface Pro 9
D-4087,dfp-ib4t5ywi9cro,Windows,Galaxy S22
D-4088,dfp-wwx4uwmwub13,Android,MacBook Air
D-4089,dfp-dhbnh86vtvpp,Linux,ThinkPad T14
D-4090,dfp-0uh70k89nuju,Windows,ThinkPad T14
D-4091,dfp-j6hqhjeo5f1c,Android,iPhone 14
D-4092,dfp-19wj8vi291r4,Android,iPhone 15
D-4093,dfp-gkkjpbin2rww,Android,Surface Pro 9
D-4094,dfp-v7wbwvp4yzih,iOS,iPhone 15
D-4095,dfp-w22pwj8ou4fc,macOS,iPhone 15
D-4096,dfp-b2k4ovp84o02,iOS,iPhone 15
D-4097,dfp-jts4orlblz6y,Android,Surface Pro 9
D-4098,dfp-itx9ur7tfdob,Windows,iPhone 14
D-4099,dfp-608xssjg3j1g,Windows,ThinkPad T14
D-4100,dfp-dvuam1e293q4,Linux,ThinkPad T14
D-4101,dfp-pb60f3ry6xbf,iOS,iPhone 15
D-4102,dfp-2dulx29vynd5,Windows,MacBook Air
D-4103,dfp-xtsx2kzfcrl7,iOS,iPhone 14
D-4104,dfp-nkq69xjmvykk,Windows,iPhone 15
D-4105,dfp-96n3rzh1oaee,Android,Galaxy S22
D-4106,dfp-5raxa7wn1d00,Android,Surface Pro 9
D-4107,dfp-0n76tl23ladn,macOS,MacBook Air
D-4108,dfp-5liuroxd4cj5,Windows,Pixel 7
D-4109,dfp-blcu0s5a2xim,macOS,Surface Pro 9
D-4110,dfp-62x1xeeeovkv,Windows,iPhone 14
D-4111,dfp-gh207okk0zpd,iOS,Surface Pro 9
D-4112,dfp-jhwp9xwb2uik,Windows,iPhone 15
D-4113,dfp-zxrub973fkds,Windows,ThinkPad T14
D-4114,dfp-fzedlpc0k4w7,Windows,iPhone 14
D-4115,dfp-oeldfgwcof2r,macOS,Galaxy S22
D-4116,dfp-j5md09w0bjc3,iOS,ThinkPad T14
D-4117,dfp-a3sf2k8mllzm,Android,Galaxy S22
D-4118,dfp-77ru2r3uj7n7,Linux,iPhone 15
D-4119,dfp-v80j4j026tba,Windows,iPhone 15
D-4120,dfp-vnw61afuho0k,iOS,Surface Pro 9
D-4121,dfp-gxd5tdtgc0t6,Android,iPhone 15
D-4122,dfp-sm9wpig889xt,iOS,iPhone 15
D-4123,dfp-3vykxip5lcci,macOS,iPhone 15
D-4124,dfp-edd0n76k0eb1,Linux,ThinkPad T14
D-4125,dfp-1s2iuxgokem8,Android,Surface Pro 9
D-4126,dfp-g14hd7l3rnpb,Linux,ThinkPad T14
D-4127,dfp-6qgbtw3lzzhb,Android,iPhone 14
D-4128,dfp-qpgvd4i685zi,macOS,Surface Pro 9
D-4129,dfp-cco5wqnqux1d,Android,Galaxy S22
D-4130,dfp-dolghh3kdkhx,Android,MacBook Air
D-4131,dfp-0uutt9kw8u2y,iOS,Galaxy S22
D-4132,dfp-o1q4g2lujj05,Android,Galaxy S22
D-4133,dfp-cwkzqe2mf3oq,iOS,iPhone 15
D-4134,dfp-bg8a45i1vtnn,macOS,ThinkPad T14
D-4135,dfp-9vku1uc03bcc,Android,iPhone 15
D-4136,dfp-rwfwyukje8oc,macOS,Galaxy S22
D-4137,dfp-z6nfgdqalyun,Android,Galaxy S22
D-4138,dfp-5wnjoe5p3q9v,Linux,Surface Pro 9
D-4139,dfp-ta38fdo8oxse,macOS,Galaxy S22
D-4140,dfp-rjzapw1hbwv3,Linux,MacBook Air
D-4141,dfp-y3mf9cfmkypx,Windows,iPhone 15
D-4142,dfp-nbnh3l7yo9ko,iOS,Pixel 7
D-4143,dfp-ihrnxjrx40xy,Android,Galaxy S22
D-4144,dfp-51g9srb0ukd0,Android,iPhone 14
D-4145,dfp-k796swo4gs94,macOS,ThinkPad T14
D-4146,dfp-9d2e31z3yla5,Windows,iPhone 15
D-4147,dfp-mez8cenphr6y,Windows,Surface Pro 9
D-4148,dfp-p5ua5oezvfrw,Linux,iPhone 15
D-4149,dfp-ycgnhky311yl,iOS,iPhone 15
D-4150,dfp-flfwgy1te76c,iOS,Galaxy S22
D-4151,dfp-pwy3e423lard,macOS,iPhone 15
D-4152,dfp-uexcee71x1u2,Android,iPhone 15
D-4153,dfp-fmvifb32jtyb,macOS,ThinkPad T14
D-4154,dfp-telvcgozrbni,Android,iPhone 14
D-4155,dfp-ts3f3gxo6u0u,Android,Galaxy S22
D-4156,dfp-lsgyylzplsby,macOS,MacBook Air
D-4157,dfp-hoxjre6rqski,Android,Pixel 7
D-4158,dfp-mkyhmuou52bm,macOS,iPhone 14
D-4159,dfp-xgdxapf388uw,iOS,Galaxy S22
D-4160,dfp-2jxr1woiecqe,Linux,iPhone 15
D-4161,dfp-zojekrlx5s1f,macOS,MacBook Air
D-4162,dfp-l7g63apy5f26,Android,Surface Pro 9
D-4163,dfp-ca0o3v2e3cc5,Windows,iPhone 14
D-4164,dfp-o91r0pwfhyqm,Android,Galaxy S22
D-4165,dfp-qo47h55a3m42,Android,Surface Pro 9
D-4166,dfp-dg3sbe9ilwna,Windows,Surface Pro 9
D-4167,dfp-1ebc49gvz9si,Linux,Surface Pro 9
D-4168,dfp-ijpapkqjfxj8,Linux,Surface Pro 9
D-4169,dfp-a69swbfgjv9v,macOS,iPhone 15
D-4170,dfp-9jcr28d02w9e,Android,MacBook Air
D-4171,dfp-re5pi6phthrq,Linux,iPhone 15
D-4172,dfp-uijo5e0lbn4g,macOS,iPhone 14
D-4173,dfp-fg4d4msof1w6,Linux,iPhone 15
D-4174,dfp-nmtcrfdse441,macOS,iPhone 14
D-4175,dfp-bgqoqsszz70c,Windows,Pixel 7
D-4176,dfp-biqbscgpdygb,Windows,ThinkPad T14
D-4177,dfp-zn0kb05923pi,iOS,Galaxy S22
D-4178,dfp-8g69upz2st1f,Android,Galaxy S22
D-4179,dfp-1iham6ifozxx,Linux,Surface Pro 9
D-4180,dfp-s9fe8fwe6gwc,macOS,ThinkPad T14
D-4181,dfp-xwmf14wloa8q,Linux,Galaxy S22
D-4182,dfp-aufvigii72iu,Windows,ThinkPad T14
D-4183,dfp-5oc3m0fcfjcc,Linux,Pixel 7
D-4184,dfp-k7m2k8dj54xr,macOS,iPhone 14
D-4185,dfp-nhoasryhqeke,iOS,iPhone 14
D-4186,dfp-ggq0wpk0xawg,macOS,Galaxy S22
D-4187,dfp-lmqzig54wwps,iOS,Surface Pro 9
D-4188,dfp-hzw3fn5savg4,Linux,Surface Pro 9
D-4189,dfp-s4rx79mh50xr,macOS,Galaxy S22
D-4190,dfp-19ozqmi7sl01,macOS,iPhone 14
D-4191,dfp-uah3qkdn44v5,iOS,iPhone 15
D-4192,dfp-l42yohtihhvb,macOS,ThinkPad T14
D-4193,dfp-i166naprc8u2,iOS,Galaxy S22
D-4194,dfp-6ng4pjd8ic4c,iOS,iPhone 14
D-4195,dfp-b05crgb9vqil,iOS,Pixel 7
D-4196,dfp-4oer4rblrc2b,Windows,MacBook Air
D-4197,dfp-tss8y2h7a6bh,Android,iPhone 14
D-4198,dfp-uqk2ji7j9p2g,Linux,Pixel 7
D-4199,dfp-wf4ir3nuxjux,Android,Galaxy S22
D-4200,dfp-38yaryk39k0f,iOS,Galaxy S22
D-4201,dfp-i4qye8ef9qhb,Linux,Pixel 7
D-4202,dfp-khvjlpfxc80p,macOS,iPhone 15
D-4203,dfp-x6wo9qi83m4f,macOS,MacBook Air
D-4204,dfp-tl82mm08o52x,iOS,iPhone 14
D-4205,dfp-4c1bo974yjp0,Linux,Galaxy S22
D-4206,dfp-4cmqjc7izp0u,Linux,Surface Pro 9
D-4207,dfp-gelz7vof5kcl,iOS,iPhone 14
D-4208,dfp-94jkcgqugltr,Linux,ThinkPad T14
D-4209,dfp-ul6hhaqldlgw,Android,Galaxy S22
D-4210,dfp-s3wud8n6f7il,iOS,Surface Pro 9
D-4211,dfp-23dkd33w75bf,Android,Galaxy S22
D-4212,dfp-trf13vqmw4sy,Windows,Pixel 7
D-4213,dfp-enmdrh1hg1qf,iOS,Surface Pro 9
D-4214,dfp-1uuem9ri444b,iOS,Galaxy S22
D-4215,dfp-8okvyy3p4lpz,Windows,iPhone 14
D-4216,dfp-89k7a0d5hyzi,macOS,ThinkPad T14
D-4217,dfp-8fk5tga7bzfo,Linux,ThinkPad T14
D-4218,dfp-f4dv3abu6dti,Android,ThinkPad T14
D-4219,dfp-y1vnmpxzx81k,Linux,iPhone 14
D-4220,dfp-86p7f2hrolhe,macOS,Pixel 7
D-4221,dfp-g2akmfhyd0r8,iOS,Galaxy S22
D-4222,dfp-wagmsqjmyxze,Linux,iPhone 14
D-4223,dfp-zo56p8d3n3mj,macOS,Pixel 7
D-4224,dfp-0l3j53ofm392,Android,ThinkPad T14
D-4225,dfp-ozr0zchzwziv,macOS,Surface Pro 9
D-4226,dfp-1q8ddcmpmffr,Windows,MacBook Air
D-4227,dfp-0hmnsuf0a1fw,Windows,iPhone 15
D-4228,dfp-gd7amyd2ntcq,iOS,iPhone 14
D-4229,dfp-5mwf9cb2g8yk,macOS,iPhone 15
D-4230,dfp-m4wql0094e6q,Windows,ThinkPad T14
D-4231,dfp-0jbqxddaccud,Windows,iPhone 14
D-4232,dfp-inxogreq1wsy,macOS,iPhone 15
D-4233,dfp-j71e2bdlowo1,iOS,Surface Pro 9
D-4234,dfp-vk1e5su9rmyi,Windows,ThinkPad T14
D-4235,dfp-xmpdc6bohcdk,macOS,ThinkPad T14
D-4236,dfp-37rhgsl4ubdm,macOS,iPhone 15
D-4237,dfp-88l0owq8hv3p,Windows,Surface Pro 9
D-4238,dfp-740tzihmnjt7,iOS,iPhone 15
D-4239,dfp-o6ehd64ukn3l,Android,MacBook Air
D-4240,dfp-7slpdt0qce7k,Windows,Pixel 7
D-4241,dfp-jg0lk5ravceu,Android,Galaxy S22
D-4242,dfp-96qon4s6fck8,Windows,MacBook Air
D-4243,dfp-qu0ixoasoe60,Android,MacBook Air
D-4244,dfp-tcapkas47007,Windows,iPhone 15
D-4245,dfp-g7o0kz6rtxld,Linux,Galaxy S22
D-4246,dfp-9k7k57qedi3f,Android,Galaxy S22
D-4247,dfp-pxycgkwv30bp,Linux,Surface Pro 9
D-4248,dfp-dquz1mi4m54a,Windows,iPhone 15
D-4249,dfp-d645fdl4h13b,iOS,Surface Pro 9
D-4250,dfp-2gxo8guj19iy,Android,Galaxy S22
D-4251,dfp-9m8zrfw46h7x,iOS,iPhone 15
D-4252,dfp-zb56ztg31st2,Windows,MacBook Air
D-4253,dfp-lk657git4ea9,Windows,ThinkPad T14
D-4254,dfp-an4iyur1x8h2,iOS,Surface Pro 9
D-4255,dfp-ipz4z9c4kfmo,Android,MacBook Air
D-4256,dfp-bjcgt7d5mcfa,Linux,iPhone 14
D-4257,dfp-t83q5gp4isrd,Android,Pixel 7
D-4258,dfp-bgoc2i01f4ko,iOS,iPhone 14
D-4259,dfp-oc8g44u1pul8,Windows,iPhone 14
D-4260,dfp-gke01h4rvmfv,Android,iPhone 15
D-4261,dfp-1cboue6vl579,macOS,MacBook Air
D-4262,dfp-unp7ikd9tkqq,Windows,iPhone 14
D-4263,dfp-d9dw3nmgyds3,macOS,Galaxy S22
D-4264,dfp-jbrqmujp892a,macOS,iPhone 14
D-4265,dfp-96ri75yr9oxr,macOS,iPhone 15
D-4266,dfp-r81neqm74xzs,Windows,iPhone 15
D-4267,dfp-5y3rxytwdct1,Android,iPhone 15
D-4268,dfp-3vsum2siwgub,macOS,Pixel 7
D-4269,dfp-650dlobkyoye,Android,iPhone 15
D-4270,dfp-syteobe7ok9j,Windows,ThinkPad T14
D-4271,dfp-3g18rgwra7n5,iOS,iPhone 15
D-4272,dfp-tpunswrmq91t,Windows,ThinkPad T14
D-4273,dfp-8uo4h5ybtyo4,macOS,ThinkPad T14
D-4274,dfp-y9dzxidifrdl,Linux,MacBook Air
D-4275,dfp-3rzpky7dp5o9,iOS,iPhone 14
D-4276,dfp-ollqofvtii0v,Linux,Pixel 7
D-4277,dfp-vcfi7auw1knt,macOS,iPhone 15
D-4278,dfp-qq0inw4qkhqc,Windows,iPhone 15
D-4279,dfp-3uuj5uv4w30z,Linux,Surface Pro 9
D-4280,dfp-k6g5l9m8jtjd,Windows,Pixel 7
D-4281,dfp-dui1mrmwhv46,Android,ThinkPad T14
D-4282,dfp-zdzkrlxs0809,Linux,Pixel 7
D-4283,dfp-w12tlm1p22tp,macOS,iPhone 15
D-4284,dfp-5uhwi5l4c2wp,iOS,Pixel 7
D-4285,dfp-ppaw6d68ghve,Linux,MacBook Air
D-4286,dfp-3n83k1v7wq3j,macOS,MacBook Air
D-4287,dfp-wn2gwosl05el,macOS,Surface Pro 9
D-4288,dfp-rq988jtw2bhj,Windows,ThinkPad T14
D-4289,dfp-8p9h18lgxb3b,Linux,Surface Pro 9
D-4290,dfp-1etrl9qzqbbg,macOS,Surface Pro 9
D-4291,dfp-asocfzdfc0wn,iOS,Galaxy S22
D-4292,dfp-xzst5n25kyxw,Android,MacBook Air
D-4293,dfp-atv6vyzlgvbj,Android,iPhone 15
D-4294,dfp-wvnc2g92fuzh,Windows,Pixel 7
D-4295,dfp-v3xp5eyupg55,Linux,Pixel 7
D-4296,dfp-jnzxwxa4lw56,Android,ThinkPad T14
D-4297,dfp-syo2r7444sev,iOS,iPhone 14
D-4298,dfp-mkwd757co66f,macOS,Surface Pro 9
D-4299,dfp-g4rnolll7m2k,Linux,Pixel 7
D-4300,dfp-emtv3aegm2sh,Android,ThinkPad T14
D-4301,dfp-vqnezn7gdujw,Android,ThinkPad T14
D-4302,dfp-yjezmqqmq19r,iOS,iPhone 14
D-4303,dfp-7k58iivhtlyg,macOS,iPhone 14
D-4304,dfp-hskrynn0gnp8,iOS,iPhone 15
D-4305,dfp-h2tha1wqo2o9,Android,Surface Pro 9
D-4306,dfp-re37a6zxe4w3,Windows,MacBook Air
D-4307,dfp-5anuhn1sft26,Windows,ThinkPad T14
D-4308,dfp-e88bpqabtxgw,iOS,Galaxy S22
D-4309,dfp-k96nilnjkg73,Windows,Surface Pro 9
D-4310,dfp-l2b70z3grj6q,Android,Galaxy S22
D-4311,dfp-hbl4e228v2bt,Linux,Galaxy S22
D-4312,dfp-e1ezsum1qpnd,Android,MacBook Air
D-4313,dfp-zn5qplszwu7q,macOS,ThinkPad T14
D-4314,dfp-b6p5ocqeggex,Android,MacBook Air
D-4315,dfp-pfdkjsh8o8zf,Android,Pixel 7
D-4316,dfp-k8uhn5r7a1mg,Android,iPhone 15
D-4317,dfp-fcm88gfpt5ra,Linux,Galaxy S22
D-4318,dfp-ejgk2go9acn9,iOS,iPhone 14
D-4319,dfp-72oohaulhhgh,Android,iPhone 15
D-4320,dfp-q96gygqmr3p9,Android,ThinkPad T14
D-4321,dfp-sj9egqx9zqcu,macOS,MacBook Air
D-4322,dfp-fes0gcb4pprh,Linux,Surface Pro 9
D-4323,dfp-qva6ttb2tl0v,Windows,Galaxy S22
D-4324,dfp-oktt9eoj9sj1,Linux,iPhone 15
D-4325,dfp-ik2i9wjer4k9,Windows,iPhone 15
D-4326,dfp-bhq7lq7mbmxs,Android,ThinkPad T14
D-4327,dfp-qsx2urrdqzfq,Linux,Surface Pro 9
D-4328,dfp-a5cklq9mt8lw,macOS,Galaxy S22
D-4329,dfp-c2z9fhcwa9kd,iOS,Galaxy S22
D-4330,dfp-jbxe3bqur3ns,iOS,ThinkPad T14
D-4331,dfp-pbbp0lhka8tq,Android,Galaxy S22
D-4332,dfp-34hx23zx4d0t,Linux,Surface Pro 9
D-4333,dfp-7rtpc5pcozhq,iOS,Galaxy S22
D-4334,dfp-fsyjehcqrbre,Android,iPhone 15
D-4335,dfp-ttpls6mopoco,iOS,iPhone 14
D-4336,dfp-7swck0kv8437,macOS,Galaxy S22
D-4337,dfp-tw8zthunm6o2,iOS,iPhone 15
D-4338,dfp-40irdwmpott9,macOS,iPhone 15
D-4339,dfp-q2ncs3cylapu,macOS,Surface Pro 9
D-4340,dfp-xxxua5fzwu74,Android,Galaxy S22
D-4341,dfp-y5kcf1b7sdad,Android,iPhone 14
D-4342,dfp-fb7vey4zqiyd,Linux,Galaxy S22
D-4343,dfp-15elfrbzskt8,Linux,MacBook Air
D-4344,dfp-47yqevpb5o1c,iOS,MacBook Air
D-4345,dfp-mcsxtbgl5nok,iOS,Surface Pro 9
D-4346,dfp-2jwgyo5bg7fv,Windows,iPhone 14
D-4347,dfp-stfrmjsfcc0s,Android,ThinkPad T14
D-4348,dfp-plxllhgzhl2n,Windows,Surface Pro 9
D-4349,dfp-tp60hdiqnrhq,Linux,ThinkPad T14
D-4350,dfp-evudmw0wh4w2,Windows,MacBook Air
D-4351,dfp-1p5gkn0v0rnn,Windows,Pixel 7
D-4352,dfp-11cz2n5kdz9y,iOS,iPhone 14
D-4353,dfp-d2p8awfezy2y,Linux,Galaxy S22
D-4354,dfp-d6t1hdfo27nt,macOS,iPhone 14
D-4355,dfp-tz1qea3i7i9s,Linux,Pixel 7
D-4356,dfp-iw4a4xofrw67,Linux,MacBook Air
D-4357,dfp-lx3a5rzy9q6o,Windows,Surface Pro 9
D-4358,dfp-49qsiu964zju,iOS,iPhone 15
D-4359,dfp-yhx4bikcwigy,Windows,iPhone 14
D-4360,dfp-ycy1mcp7nc60,Linux,ThinkPad T14
D-4361,dfp-gflrt0fhfg16,Linux,iPhone 14
D-4362,dfp-hxfadfsj1xg8,iOS,MacBook Air
D-4363,dfp-mio390o9zubn,iOS,ThinkPad T14
D-4364,dfp-zwzv3u9ratqr,Linux,iPhone 15
D-4365,dfp-fxv3tqb8im8u,iOS,Surface Pro 9
D-4366,dfp-1fvqzbo45x0v,Windows,MacBook Air
D-4367,dfp-y4ign5gpllsm,Android,iPhone 14
D-4368,dfp-r6yw7s0ytbgp,Android,ThinkPad T14
D-4369,dfp-btwaqnvn6kf0,iOS,iPhone 14
D-4370,dfp-t52s27nj4e6d,Linux,iPhone 15
D-4371,dfp-xj1cth7rdku1,Android,iPhone 14
D-4372,dfp-w47fn3jjkpb6,macOS,Surface Pro 9
D-4373,dfp-ejm6si9m4d1i,macOS,Galaxy S22
D-4374,dfp-4m3umr5jus9x,Android,Pixel 7
D-4375,dfp-4u4nu6ibzb66,Windows,Pixel 7
D-4376,dfp-idxi3zshn6gb,Windows,Surface Pro 9
D-4377,dfp-qzujp5scdujs,Android,Pixel 7
D-4378,dfp-82u84hk1k6u1,Windows,MacBook Air
D-4379,dfp-757mvrkwu832,Linux,MacBook Air
D-4380,dfp-ecp40thidjwr,macOS,Galaxy S22
D-4381,dfp-m1cga2shv406,macOS,MacBook Air
D-4382,dfp-l0uxwz538hk2,Linux,iPhone 15
D-4383,dfp-eq0iuv1vxzj0,iOS,iPhone 14
D-4384,dfp-u2dd7xr8ifpx,Linux,iPhone 14
D-4385,dfp-83anrl48xg2w,iOS,MacBook Air
D-4386,dfp-mbp6j2koahxu,Android,Pixel 7
D-4387,dfp-o5uoxeazjove,Linux,Galaxy S22
D-4388,dfp-a3jy61emtk7k,Linux,MacBook Air
D-4389,dfp-i0x85jumu3dg,Windows,MacBook Air
D-4390,dfp-s9apgpkav2d9,iOS,Galaxy S22
D-4391,dfp-e5k0j7wbw78m,iOS,iPhone 15
D-4392,dfp-ikydrbad2hvw,iOS,Galaxy S22
D-4393,dfp-gjyntxq19l98,Android,MacBook Air
D-4394,dfp-5nhdufghgwlu,macOS,Pixel 7
D-4395,dfp-mqohp5ms8zkr,Windows,Pixel 7
D-4396,dfp-vqw7z2b35pr5,Windows,MacBook Air
D-4397,dfp-h349fu65mli4,Windows,Pixel 7
D-4398,dfp-7l4jo903k9xm,Android,ThinkPad T14
D-4399,dfp-zchhqhy3sna2,Android,ThinkPad T14
D-4400,dfp-vxdvwsms355p,Linux,Pixel 7
D-4401,dfp-ob2z1he0hh7r,macOS,MacBook Air
D-4402,dfp-fqnj1zk19ujl,macOS,Surface Pro 9
D-4403,dfp-ukyim02pyu5e,Android,Surface Pro 9
D-4404,dfp-9nq00yd0yg57,Android,iPhone 14
D-4405,dfp-vuohgyawam33,macOS,Surface Pro 9
D-4406,dfp-vckgdn397asi,iOS,iPhone 14
D-4407,dfp-rh23w5xneah2,Windows,iPhone 15
D-4408,dfp-yaaic1avqu6g,macOS,Surface Pro 9
D-4409,dfp-anfyd74g8dh7,Windows,Galaxy S22
D-4410,dfp-y8qm2dvvwgy2,Windows,MacBook Air
D-4411,dfp-4jkljd5u6apy,macOS,Galaxy S22
D-4412,dfp-pie2tgho5c4v,Windows,iPhone 14
D-4413,dfp-2iqiuyqpgzjt,macOS,ThinkPad T14
D-4414,dfp-f7rlnkdnec1f,Linux,MacBook Air
D-4415,dfp-6opj225d5sbt,Android,Galaxy S22
D-4416,dfp-qp27amscrwmh,Windows,ThinkPad T14
D-4417,dfp-oh8l73ze0v11,Windows,Surface Pro 9
D-4418,dfp-fq7bexz5fesp,iOS,MacBook Air
D-4419,dfp-bd6r2kdvcj7d,macOS,Pixel 7
D-4420,dfp-avn4hx2a6ki1,macOS,Surface Pro 9
D-4421,dfp-9m4nuejxb3u5,Linux,MacBook Air
D-4422,dfp-3te6a8x5sb9s,Linux,MacBook Air
D-4423,dfp-wg2sycloli01,Linux,ThinkPad T14
D-4424,dfp-okti2kc33k33,Linux,Galaxy S22
D-4425,dfp-vh43wrg9gdol,Linux,Surface Pro 9
D-4426,dfp-n478ao8dl5qh,Linux,iPhone 14
D-4427,dfp-7rw8ve0fnqfl,Windows,Galaxy S22
D-4428,dfp-s14f4t08dueu,iOS,Pixel 7
D-4429,dfp-oe6qbt22co5d,Windows,iPhone 15
D-4430,dfp-z4iron8692t8,Windows,MacBook Air
D-4431,dfp-hhvg9z0zjajn,Windows,Surface Pro 9
D-4432,dfp-3993wo9bf338,iOS,MacBook Air
D-4433,dfp-cqnhsjk1h9w7,Windows,Surface Pro 9
D-4434,dfp-y7qvqhpaheh2,iOS,iPhone 15
D-4435,dfp-bso8imolyeeu,Android,iPhone 15
D-4436,dfp-izls966705z0,Linux,Galaxy S22
D-4437,dfp-dnp8ry6w8h3e,macOS,Surface Pro 9
D-4438,dfp-2pzbj5arjk84,Windows,Surface Pro 9
D-4439,dfp-ps18rl3d9ozc,macOS,iPhone 14
D-4440,dfp-7uijqyr4ico1,Windows,ThinkPad T14
D-4441,dfp-jb295ickppoq,Windows,ThinkPad T14
