txn_id,src_account_id,dst_account_id,merchant_id,amount,currency,channel,ts,status
T-8022,A-4752,A-4255,M-3484,8.77,USD,CASH,2024-11-12 17:55:59,APPROVED
T-8023,A-2524,A-3843,M-3401,27.58,USD,WIRE,07/30/2024,APPROVED
T-8024,A-4531,A-2132,M-3258,32.37,USD,CASH,08/23/2024 12:01,APPROVED
T-8025,A-2576,A-2221,M-3289,50.41,USD,ECOM,2024-10-07 23:13:02,APPROVED
T-8026,A-4203,A-4339,M-3390,3.92,USD,ECOM,02/10/2024 06:19,APPROVED
T-8027,A-3589,A-2527,M-3474,6.06,USD,ATM,01/29/2024 22:07,APPROVED
T-8028,A-5179,A-5013,M-3207,8.86,USD,WIRE,2024-10-15T23:31:37,APPROVED
T-8029,A-2343,A-2053,M-3120,53.9,USD,ATM,2025-06-12T02:34:02,APPROVED
T-8030,A-3059,A-2693,M-3040,8.33,USD,CASH,2025-03-21 19:43:12,APPROVED
T-8031,A-3601,A-4967,M-3469,10.33,USD,WIRE,04/07/2024,APPROVED
T-8032,A-2485,A-5147,M-3235,12.94,USD,POS,2024-01-18T15:37:20,APPROVED
T-8033,A-2256,A-2458,M-3368,13.99,USD,CASH,01/09/2024,APPROVED
T-8034,A-3680,A-2196,M-3007,38.19,USD,WIRE,2025-01-17 17:28:49,APPROVED
T-8035,A-3695,A-2213,M-3246,14.13,USD,CASH,2024-06-05 21:38:11,APPROVED
T-8036,A-2231,A-4290,M-3350,231.27,USD,POS,2025-02-05,APPROVED
T-8037,A-3498,A-2874,M-3466,7.73,USD,ECOM,06/01/2024,APPROVED
T-8038,A-4892,A-3186,M-3180,13.79,USD,WIRE,2024-10-30,APPROVED
T-8039,A-3841,A-3900,M-3250,5.06,USD,POS,2025-07-01T05:13:55,APPROVED
T-8040,A-2422,A-3555,M-3063,169.02,USD,CASH,2025-07-13T20:18:52,APPROVED
T-8041,A-2132,A-2179,M-3243,9.18,USD,ATM,2024-03-05 11:44:50,APPROVED
T-8042,A-3522,A-3753,M-3134,1.72,USD,POS,2025-06-07 12:01:46,APPROVED
T-8043,A-4279,A-4686,M-3249,8.99,USD,ECOM,2024-09-29 13:46:17,APPROVED
T-8044,A-4990,A-3951,M-3301,23.67,USD,CASH,2025-01-01T17:41:56,APPROVED
T-8045,A-4411,A-4081,M-3476,43.27,USD,CASH,2024-09-12T13:04:53,APPROVED
T-8046,A-3054,A-4456,M-3100,45.88,USD,ATM,09/07/2024,DECLINED
T-8047,A-2689,A-2998,M-3379,24.51,USD,ECOM,2025-01-11 23:57:09,APPROVED
T-8048,A-3943,A-3730,M-3364,22.73,USD,ECOM,2024-12-13 19:03:07,APPROVED
T-8049,A-4284,A-4154,M-3009,5.89,USD,CASH,08/03/2024,APPROVED
T-8050,A-3083,A-2717,M-3275,26.11,USD,ATM,08/04/2024 00:49,APPROVED
T-8051,A-4222,A-3683,M-3247,21.86,USD,CASH,2024-12-06 15:44:28,APPROVED
T-8052,A-3670,A-5303,M-3411,28.74,USD,CASH,2024-03-25,APPROVED
T-8053,A-4034,A-5027,M-3035,17.88,USD,CASH,2024-06-21T01:03:01,APPROVED
T-8054,A-3884,A-5062,M-3149,33.0,USD,WIRE,2025-01-16,APPROVED
T-8055,A-3817,A-2691,M-3034,7.05,USD,ATM,05/08/2025,APPROVED
T-8056,A-5052,A-3236,M-3447,10.93,USD,ATM,03/12/2024 21:56,APPROVED
T-8057,A-3596,A-3473,M-3238,17.49,USD,WIRE,06/26/2024,APPROVED
T-8058,A-4178,A-3097,M-3339,15.19,USD,ECOM,2024-07-08,DECLINED
T-8059,A-2503,A-4824,M-3294,14.37,USD,POS,07/29/2024,APPROVED
T-8060,A-4330,A-4394,M-3269,45.92,USD,POS,06/06/2024,APPROVED
T-8061,A-4940,A-2590,M-3095,33.87,USD,ATM,02/06/2025,APPROVED
T-8062,A-3757,A-4695,M-3409,2.74,USD,ECOM,2024-07-08,APPROVED
T-8063,A-3854,A-3671,M-3489,32.38,USD,WIRE,2025-04-02 10:58:36,APPROVED
T-8064,A-5049,A-5411,M-3297,7.03,USD,ATM,2025-05-07 11:39:13,APPROVED
T-8065,A-3631,A-3308,M-3113,24.97,USD,CASH,01/02/2025 08:54,APPROVED
T-8066,A-2174,A-2053,M-3145,13.84,USD,POS,2025-05-23 16:31:21,APPROVED
T-8067,A-3534,A-5040,M-3428,35.94,USD,POS,2024-02-10,APPROVED
T-8068,A-2881,A-2776,M-3258,40.43,USD,ATM,03/16/2024 11:02,APPROVED
T-8069,A-5443,A-5062,M-3038,35.18,USD,WIRE,2024-05-27,APPROVED
T-8070,A-4746,A-3128,M-3232,11.66,USD,ECOM,2025-06-12,PENDING
T-8071,A-2185,A-4102,M-3295,6.38,USD,WIRE,02/03/2024 14:10,APPROVED
T-8072,A-2154,A-3684,M-3092,16.97,USD,WIRE,2025-06-22T01:45:52,APPROVED
T-8073,A-2474,A-2760,M-3453,6.94,USD,WIRE,2024-11-27 00:51:57,APPROVED
T-8074,A-2474,A-3730,M-3155,10.07,USD,CASH,2024-02-16 17:31:46,APPROVED
T-8075,A-2153,A-5304,M-3412,43.54,USD,POS,2025-05-29T05:52:56,APPROVED
T-8076,A-4795,A-3890,M-3111,9.38,USD,WIRE,07/15/2024 21:53,APPROVED
T-8077,A-5133,A-2778,M-3273,43.5,USD,WIRE,05/14/2024,APPROVED
T-8078,A-4796,A-2735,M-3484,13.51,USD,ECOM,2024-12-20 22:36:07,APPROVED
T-8079,A-2027,A-2876,M-3227,10.3,USD,WIRE,2024-12-03T05:06:33,APPROVED
T-8080,A-3132,A-3856,M-3254,22.1,USD,CASH,2024-10-14 01:41:43,APPROVED
T-8081,A-5467,A-4098,M-3422,24.58,USD,CASH,2025-05-05,APPROVED
T-8082,A-5384,A-3025,M-3384,19.23,USD,POS,10/07/2024 12:33,APPROVED
T-8083,A-3703,A-4564,M-3359,58.89,USD,ECOM,2025-03-13,APPROVED
T-8084,A-4329,A-2650,M-3136,168.04,USD,WIRE,2024-05-10 06:48:09,APPROVED
T-8085,A-5393,A-4266,M-3085,32.98,USD,ATM,06/28/2024 00:15,APPROVED
T-8086,A-3762,A-2913,M-3382,17.73,USD,ECOM,09/14/2024 09:10,APPROVED
T-8087,A-4676,A-4746,M-3044,3.02,USD,ECOM,2025-06-06T18:39:00,APPROVED
T-8088,A-4790,A-2632,M-3449,21.03,USD,POS,12/29/2024 08:39,APPROVED
T-8089,A-4957,A-2736,M-3245,3.06,USD,ATM,05/02/2025 23:34,APPROVED
T-8090,A-2306,A-3826,M-3389,5.57,USD,POS,2024-10-23 12:59:02,APPROVED
T-8091,A-5167,A-4708,M-3016,28.15,USD,POS,09/19/2024 15:47,APPROVED
T-8092,A-5340,A-4284,M-3386,100.36,USD,WIRE,2024-01-17T14:33:31,APPROVED
T-8093,A-3902,A-3618,M-3203,4.7,USD,ATM,2024-12-13T05:20:55,APPROVED
T-8094,A-3170,A-4080,M-3430,21.83,USD,POS,2024-01-28,APPROVED
T-8095,A-3891,A-2851,M-3207,39.37,USD,CASH,09/17/2024 19:32,APPROVED
T-8096,A-2336,A-4369,M-3374,23.38,USD,ECOM,03/17/2024,APPROVED
T-8097,A-4497,A-3278,M-3334,99.18,USD,POS,04/01/2024,APPROVED
T-8098,A-3609,A-5128,M-3149,23.48,USD,ECOM,2024-05-17 01:20:38,APPROVED
T-8099,A-2524,A-4132,M-3429,-51.85,USD,CASH,05/04/2024 18:58,DECLINED
T-8100,A-2416,A-4325,M-3110,55.98,USD,ATM,2025-03-19T04:30:22,DECLINED
T-8101,A-3832,A-2875,M-3246,16.11,USD,CASH,2024-12-11 05:05:34,APPROVED
T-8102,A-2271,A-2043,M-3414,27.98,USD,POS,2025-01-11,APPROVED
T-8103,A-5128,A-4118,M-3210,23.5,USD,ATM,08/15/2024 06:33,APPROVED
T-8104,A-4121,A-5196,M-3050,34.13,USD,ECOM,03/22/2025,APPROVED
T-8105,A-3448,A-4824,M-3051,31.53,USD,ECOM,08/23/2024,APPROVED
T-8106,A-4617,A-3804,M-3130,6.42,USD,ATM,05/23/2024,APPROVED
T-8107,A-4604,A-4104,M-3149,13.07,USD,ATM,2025-06-30 05:54:51,APPROVED
T-8108,A-4635,A-2426,M-3070,205.03,USD,POS,03/21/2024,APPROVED
T-8109,A-2373,A-4766,M-3273,8.97,USD,CASH,02/07/2025 17:14,APPROVED
T-8110,A-2036,A-3985,M-3270,368.89,USD,ECOM,2024-04-15,APPROVED
T-8111,A-4177,A-4766,M-3003,11.19,USD,WIRE,2024-09-10T01:40:59,APPROVED
T-8112,A-3166,A-3253,M-3287,31.87,USD,ECOM,2024-12-26,DECLINED
T-8113,A-4265,A-3730,M-3048,34.91,USD,ECOM,2024-12-14 05:29:40,APPROVED
T-8114,A-3864,A-5498,M-3189,48.9,USD,ECOM,2024-09-03T17:01:11,APPROVED
T-8115,A-5391,A-5245,M-3123,14.62,USD,CASH,2024-10-10T01:29:35,APPROVED
T-8116,A-2503,A-2356,M-3273,115.87,USD,ECOM,09/24/2024 03:33,APPROVED
T-8117,A-3105,A-3506,M-3492,11.57,USD,ECOM,2025-03-22T07:56:48,APPROVED
T-8118,A-4343,A-3737,M-3383,1.67,USD,WIRE,2024-09-05T08:22:07,APPROVED
T-8119,A-5340,A-3362,M-3385,5.03,USD,CASH,2024-09-07,APPROVED
T-8120,A-3945,A-2351,M-3243,9.2,USD,POS,02/14/2024,APPROVED
T-8121,A-2493,A-4316,M-3442,63.19,USD,ECOM,02/06/2024,APPROVED
T-8122,A-5215,A-2066,M-3293,7.7,USD,WIRE,2024-10-27T14:45:18,APPROVED
T-8123,A-4578,A-3112,M-3077,29.16,USD,POS,03/26/2025,APPROVED
T-8124,A-4203,A-4305,M-3264,15.93,USD,ATM,2025-07-24,PENDING
T-8125,A-2374,A-5329,M-3288,519.95,USD,WIRE,2025-06-19 15:34:18,APPROVED
T-8126,A-2580,A-5099,M-3098,55.03,USD,CASH,05/21/2024,APPROVED
T-8127,A-3679,A-3144,M-3494,17.84,USD,CASH,2024-04-06T04:49:38,APPROVED
T-8128,A-2233,A-2673,M-3249,8.82,USD,CASH,2024-11-27T20:03:56,APPROVED
T-8129,A-2126,A-4781,M-3272,21.36,USD,WIRE,09/06/2024,APPROVED
T-8130,A-2289,A-2804,M-3177,5.1,USD,WIRE,2024-10-24T03:49:39,APPROVED
T-8131,A-4302,A-4659,M-3105,14.69,USD,CASH,06/16/2025,DECLINED
T-8132,A-2658,A-4758,M-3064,3.28,USD,CASH,2025-05-14 21:20:20,APPROVED
T-8133,A-2686,A-4162,M-3190,45.37,USD,CASH,12/19/2024 04:39,APPROVED
T-8134,A-4672,A-5199,M-3436,17.88,USD,CASH,2024-04-19,APPROVED
T-8135,A-4445,A-2322,M-3019,2.35,USD,ECOM,07/27/2024 22:40,APPROVED
T-8136,A-4627,A-4839,M-3484,3.05,USD,ATM,01/01/2024 11:50,APPROVED
T-8137,A-4762,A-2316,M-3111,35.07,USD,CASH,2025-04-25 09:15:50,APPROVED
T-8138,A-3045,A-3737,M-3137,9.28,USD,CASH,06/27/2024,APPROVED
T-8139,A-5042,A-4045,M-3095,32.37,USD,CASH,2025-06-10T18:04:18,APPROVED
T-8140,A-4694,A-2030,M-3165,3.41,USD,CASH,2025-02-02T15:47:30,APPROVED
T-8141,A-5249,A-2428,M-3173,19.87,USD,CASH,05/23/2024,PENDING
T-8142,A-3046,A-2197,M-3322,12.24,USD,CASH,11/06/2024,APPROVED
T-8143,A-3443,A-4099,M-3203,23.97,USD,WIRE,04/14/2024 23:38,APPROVED
T-8144,A-4194,A-4215,M-3068,21.01,USD,ATM,2024-04-26,APPROVED
T-8145,A-3813,A-4521,M-3240,4.86,USD,ECOM,2024-12-27,APPROVED
T-8146,A-3984,A-4644,M-3150,7.47,USD,CASH,2025-03-07T00:13:30,PENDING
T-8147,A-4682,A-4556,M-3324,16.39,USD,POS,2024-12-26,APPROVED
T-8148,A-5092,A-3199,M-3040,92.27,USD,ATM,07/03/2024 04:09,APPROVED
T-8149,A-3876,A-4137,M-3183,8.7,USD,WIRE,09/11/2024,APPROVED
T-8150,A-5486,A-4898,M-3420,24.21,USD,ECOM,2025-01-27T06:21:19,APPROVED
T-8151,A-3174,A-5454,M-3206,22.13,USD,ATM,2024-05-19 18:18:52,APPROVED
T-8152,A-2098,A-2797,M-3485,14.26,USD,ECOM,02/13/2024,APPROVED
T-8153,A-3243,A-2822,M-3169,12.02,USD,ATM,05/27/2025,APPROVED
T-8154,A-4782,A-2159,M-3468,41.71,USD,ATM,01/24/2025 07:10,APPROVED
T-8155,A-5133,A-2626,M-3310,18.15,USD,ATM,02/27/2025,APPROVED
T-8156,A-2355,A-3466,M-3110,41.16,USD,CASH,2024-06-18,APPROVED
T-8157,A-3317,A-5322,M-3208,8.16,USD,WIRE,2024-01-14T13:54:52,APPROVED
T-8158,A-5419,A-3295,M-3498,36.22,USD,POS,2024-09-04 17:29:08,APPROVED
T-8159,A-3662,A-3552,M-3470,69.52,USD,WIRE,03/07/2024,APPROVED
T-8160,A-4772,A-3186,M-3439,43.88,USD,CASH,04/01/2024 06:44,APPROVED
T-8161,A-2807,A-4397,M-3470,34.51,USD,ATM,12/18/2024 23:51,DECLINED
T-8162,A-4743,A-2247,M-3103,53.59,USD,ATM,2024-02-11T21:35:09,APPROVED
T-8163,A-5014,A-3651,M-3449,3.0,USD,CASH,2024-11-22T14:08:33,APPROVED
T-8164,A-3825,A-4761,M-3490,43.16,USD,WIRE,2025-05-12,APPROVED
T-8165,A-4858,A-4424,M-3172,33.25,USD,ATM,2024-07-31 14:15:33,APPROVED
T-8166,A-5456,A-2688,M-3233,13.31,USD,ECOM,07/10/2024 05:05,APPROVED
T-8167,A-4862,A-3791,M-3441,10.82,USD,WIRE,2024-12-04 17:15:16,APPROVED
T-8168,A-3784,A-4669,M-3216,32.12,USD,ATM,10/28/2024,APPROVED
T-8169,A-2790,A-5353,M-3333,15.99,USD,CASH,05/16/2025,APPROVED
T-8170,A-2522,A-3635,M-3442,21.41,USD,ECOM,08/20/2024,APPROVED
T-8171,A-2543,A-4483,M-3210,34.26,USD,WIRE,03/02/2025,APPROVED
T-8172,A-3078,A-2533,M-3165,60.06,USD,CASH,2025-06-27T06:05:00,APPROVED
T-8173,A-2341,A-3809,M-3213,92.8,USD,WIRE,2024-09-19 22:11:19,APPROVED
T-8174,A-2626,A-5259,M-3271,31.98,USD,ECOM,2024-08-15,APPROVED
T-8175,A-2013,A-4408,M-3263,13.84,USD,POS,03/12/2025,PENDING
T-8176,A-4939,A-2937,M-3020,92.07,USD,POS,2024-02-08,PENDING
T-8177,A-2013,A-2726,M-3479,8.11,USD,CASH,01/07/2025 05:55,APPROVED
T-8178,A-3030,A-4676,M-3231,11.06,USD,POS,02/27/2025,APPROVED
T-8179,A-4484,A-4299,M-3186,102.75,USD,WIRE,2025-04-15T18:18:17,APPROVED
T-8180,A-2897,A-2133,M-3276,8.61,USD,ECOM,2025-06-15 05:35:42,APPROVED
T-8181,A-5205,A-4243,M-3220,25.55,USD,ATM,06/14/2025,APPROVED
T-8182,A-4504,A-2488,M-3173,10.44,USD,WIRE,06/06/2024 17:52,APPROVED
T-8183,A-2645,A-3475,M-3029,33.44,USD,WIRE,04/20/2024,APPROVED
T-8184,A-2544,A-4060,M-3137,20.54,USD,WIRE,2024-11-03T05:14:34,APPROVED
T-8185,A-2736,A-3435,M-3080,16.96,USD,CASH,04/16/2025,PENDING
T-8186,A-5091,A-2442,M-3115,6.79,USD,ATM,01/10/2025 01:42,APPROVED
T-8187,A-3296,A-4308,M-3262,18.25,USD,POS,05/25/2025,APPROVED
T-8188,A-3732,A-3187,M-3248,94.68,USD,WIRE,2024-06-17 01:59:55,APPROVED
T-8189,A-4643,A-3306,M-3175,7.85,USD,ECOM,2024-07-18,APPROVED
T-8190,A-4214,A-2639,M-3380,46.66,USD,ATM,07/22/2024 16:06,APPROVED
T-8191,A-2178,A-5315,M-3089,32.11,USD,POS,2025-07-17T03:13:32,APPROVED
T-8192,A-4341,A-2304,M-3259,7.96,USD,CASH,2024-05-17 11:45:24,APPROVED
T-8193,A-2211,A-3400,M-3176,18.1,USD,CASH,2024-10-01T07:20:04,APPROVED
T-8194,A-2867,A-5458,M-3298,7.43,USD,ECOM,07/12/2024 14:20,APPROVED
T-8195,A-2015,A-5477,M-3371,59.56,USD,ECOM,2024-07-04 18:21:37,APPROVED
T-8196,A-4981,A-3492,M-3464,3.49,USD,CASH,2024-06-27,APPROVED
T-8197,A-4355,A-4585,M-3337,23.02,USD,CASH,2025-03-11,APPROVED
T-8198,A-5003,A-5493,M-3121,4.32,USD,CASH,2025-04-20T14:10:48,APPROVED
T-8199,A-4176,A-2514,M-3453,17.53,USD,CASH,2024-08-12 18:42:07,APPROVED
T-8200,A-2840,A-2565,M-3180,49.33,USD,ECOM,2024-01-03 02:10:16,APPROVED
T-8201,A-4645,A-5187,M-3241,173.51,USD,ECOM,2024-12-08,APPROVED
T-8202,A-5087,A-4336,M-3469,6.63,USD,ECOM,10/19/2024,APPROVED
T-8203,A-4716,A-3387,M-3374,8.0,USD,WIRE,10/02/2024,APPROVED
T-8204,A-3779,A-4665,M-3494,3.04,USD,ECOM,2024-04-27T14:34:22,APPROVED
T-8205,A-4321,A-4618,M-3219,158.22,USD,CASH,07/04/2024 00:08,APPROVED
T-8206,A-2404,A-2306,M-3105,23.79,USD,ECOM,04/18/2025 14:02,APPROVED
T-8207,A-2268,A-3182,M-3340,13.13,USD,CASH,2025-04-07T01:03:23,APPROVED
T-8208,A-2723,A-2366,M-3256,126.98,USD,ECOM,2025-02-09T10:33:13,APPROVED
T-8209,A-2653,A-5244,M-3414,10.19,USD,WIRE,2025-05-10 11:13:20,APPROVED
T-8210,A-5460,A-4079,M-3086,22.37,USD,POS,2024-11-28,APPROVED
T-8211,A-3479,A-4114,M-3399,10.39,USD,ATM,2025-03-21,APPROVED
T-8212,A-4711,A-2571,M-3495,20.08,USD,POS,04/30/2025 22:23,APPROVED
T-8213,A-4834,A-2943,M-3351,10.46,USD,CASH,07/17/2025,APPROVED
T-8214,A-4049,A-2265,M-3094,3.57,USD,ECOM,07/22/2025 01:23,APPROVED
T-8215,A-3831,A-2794,M-3298,50.71,USD,POS,02/09/2024 16:26,APPROVED
T-8216,A-5370,A-3167,M-3244,27.39,USD,CASH,2025-01-11T06:19:41,APPROVED
T-8217,A-3925,A-3365,M-3365,50.21,USD,WIRE,2024-08-20T22:25:52,APPROVED
T-8218,A-3983,A-2336,M-3184,14.03,USD,WIRE,01/22/2024,APPROVED
T-8219,A-5249,A-2651,M-3066,57.03,USD,POS,2024-11-26 14:40:20,DECLINED
T-8220,A-3153,A-2668,M-3308,43.31,USD,ECOM,2025-01-12T09:55:20,APPROVED
T-8221,A-4180,A-2520,M-3222,8.79,USD,ATM,2024-09-18T11:18:34,APPROVED
T-8222,A-4802,A-4420,M-3224,42.98,USD,ECOM,2025-06-22,APPROVED
T-8223,A-3872,A-2173,M-3055,6.57,USD,POS,08/18/2024 21:00,APPROVED
T-8224,A-3187,A-2200,M-3067,32.23,USD,ATM,2024-02-09 02:12:08,APPROVED
T-8225,A-4873,A-2990,M-3229,9.25,USD,ECOM,06/16/2024 22:15,DECLINED
T-8226,A-4122,A-5118,M-3474,13.14,USD,ATM,2024-03-07 07:07:30,APPROVED
T-8227,A-4210,A-2333,M-3164,27.15,USD,ECOM,2024-09-15T20:39:01,APPROVED
T-8228,A-5279,A-2442,M-3244,14.17,USD,ECOM,07/13/2025 20:26,APPROVED
T-8229,A-3413,A-5053,M-3083,48.92,USD,POS,2024-12-30 10:43:41,APPROVED
T-8230,A-4686,A-2816,M-3099,16.53,USD,ATM,2025-07-05,APPROVED
T-8231,A-4617,A-2215,M-3171,16.0,USD,ATM,01/04/2024,APPROVED
T-8232,A-4232,A-2638,M-3332,13.56,USD,POS,2024-06-22T09:42:26,PENDING
T-8233,A-2740,A-2979,M-3221,6.2,USD,ECOM,2025-05-24T15:06:42,APPROVED
T-8234,A-4876,A-4169,M-3100,2.33,USD,WIRE,04/28/2025,APPROVED
T-8235,A-3467,A-2550,M-3122,11.07,USD,WIRE,06/24/2025,APPROVED
T-8236,A-3344,A-2702,M-3199,8.85,USD,ECOM,2024-12-21 12:02:43,APPROVED
T-8237,A-3752,A-3258,M-3215,26.04,USD,POS,2025-01-21T08:58:03,APPROVED
T-8238,A-3344,A-3970,M-3143,162.63,USD,WIRE,2024-02-10,APPROVED
T-8239,A-3878,A-2465,M-3030,9.71,USD,CASH,2025-01-30 10:31:02,APPROVED
T-8240,A-4991,A-3603,M-3188,81.77,USD,CASH,2024-12-22 22:16:45,APPROVED
T-8241,A-2827,A-2909,M-3135,22.58,USD,WIRE,2025-06-16,APPROVED
T-8242,A-2530,A-3271,M-3104,12.56,USD,WIRE,10/06/2024 17:36,PENDING
T-8243,A-3673,A-2731,M-3208,5.74,USD,POS,2025-06-28,APPROVED
T-8244,A-3472,A-5018,M-3327,169.83,USD,CASH,10/17/2024 05:42,APPROVED
T-8245,A-4143,A-3957,M-3288,37.9,USD,CASH,2025-02-20 08:08:01,APPROVED
T-8246,A-4917,A-2914,M-3351,31.62,USD,ATM,2025-03-09,APPROVED
T-8247,A-2378,A-3347,M-3298,102.12,USD,CASH,06/17/2024 08:42,APPROVED
T-8248,A-3788,A-3283,M-3112,9.55,USD,ATM,2025-06-07T06:42:52,PENDING
T-8249,A-5350,A-2679,M-3031,9.94,USD,CASH,2025-05-29 13:16:22,APPROVED
T-8250,A-3181,A-3612,M-3423,15.42,USD,POS,2024-05-07T05:25:31,APPROVED
T-8251,A-2583,A-3317,M-3039,21.05,USD,ATM,2025-03-24T19:50:28,APPROVED
T-8252,A-4007,A-3325,M-3309,6.19,USD,WIRE,2025-03-04,APPROVED
T-8253,A-2338,A-2058,M-3230,20.34,USD,ECOM,2025-02-26 03:09:49,APPROVED
T-8254,A-3321,A-2146,M-3021,2.89,USD,ATM,2025-05-24 22:34:03,APPROVED
T-8255,A-2966,A-3972,M-3449,2.0,USD,WIRE,2025-01-27,APPROVED
T-8256,A-2445,A-5160,M-3312,13.46,USD,ECOM,07/06/2024 06:06,APPROVED
T-8257,A-2910,A-3248,M-3182,10.59,USD,POS,2024-02-27 13:10:25,APPROVED
T-8258,A-3706,A-5415,M-3273,35.41,USD,CASH,2024-12-23T12:20:10,APPROVED
T-8259,A-4153,A-3232,M-3045,8.78,USD,POS,04/23/2025,APPROVED
T-8260,A-4883,A-2148,M-3360,33.67,USD,WIRE,2024-10-15T13:17:02,APPROVED
T-8261,A-5377,A-4015,M-3319,4.33,USD,ATM,2024-10-07,APPROVED
T-8262,A-4887,A-4733,M-3077,9.96,USD,CASH,03/03/2024,APPROVED
T-8263,A-3264,A-4067,M-3058,4.41,USD,POS,05/16/2025 15:57,APPROVED
T-8264,A-2727,A-4698,M-3416,28.81,USD,POS,2025-06-21,APPROVED
T-8265,A-5243,A-2391,M-3110,5.13,USD,WIRE,2024-02-08 00:03:39,APPROVED
T-8266,A-3299,A-4405,M-3265,17.82,USD,ECOM,2024-12-17,APPROVED
T-8267,A-2980,A-2227,M-3094,179.0,USD,WIRE,2024-11-13 18:18:37,APPROVED
T-8268,A-4343,A-3878,M-3319,10.87,USD,ATM,2024-06-06,APPROVED
T-8269,A-4185,A-4680,M-3371,17.04,USD,WIRE,2024-08-11,APPROVED
T-8270,A-4649,A-3880,M-3258,163.4,USD,WIRE,2024-02-25 01:55:44,APPROVED
T-8271,A-3143,A-4421,M-3139,8.15,USD,WIRE,2024-11-21 18:16:22,APPROVED
T-8272,A-4845,A-4977,M-3314,21.61,USD,WIRE,12/07/2024 05:14,DECLINED
T-8273,A-4110,A-3077,M-3437,25.31,USD,WIRE,2024-12-28,APPROVED
T-8274,A-5411,A-2952,M-3100,31.99,USD,WIRE,2024-09-02 23:27:03,APPROVED
T-8275,A-5029,A-2963,M-3286,68.23,USD,ATM,2024-09-23T00:32:52,APPROVED
T-8276,A-3696,A-3254,M-3282,16.94,USD,POS,04/19/2025 01:49,DECLINED
T-8277,A-3726,A-4906,M-3147,23.84,USD,WIRE,02/18/2025 06:04,APPROVED
T-8278,A-4059,A-4366,M-3323,4.17,USD,ATM,2025-01-04,APPROVED
T-8279,A-4894,A-4621,M-3217,1.23,USD,ECOM,09/11/2024,APPROVED
T-8280,A-2442,A-2957,M-3376,24.66,USD,POS,2024-09-28,APPROVED
T-8281,A-4206,A-3698,M-3352,6.52,USD,CASH,2024-04-09T15:51:48,APPROVED
T-8282,A-5307,A-2103,M-3321,1.91,USD,WIRE,01/20/2024 07:49,APPROVED
T-8283,A-4035,A-4379,M-3294,81.02,USD,POS,07/27/2025,APPROVED
T-8284,A-2536,A-3348,M-3338,10.97,USD,POS,2024-04-27T09:55:17,DECLINED
T-8285,A-5471,A-3949,M-3404,25.2,USD,CASH,2024-11-01,APPROVED
T-8286,A-4007,A-3601,M-3132,27.16,USD,WIRE,07/15/2025 02:39,APPROVED
T-8287,A-3684,A-4841,M-3369,30.58,USD,ECOM,2024-11-18 14:30:02,APPROVED
T-8288,A-2820,A-3462,M-3409,37.43,USD,CASH,2024-11-09,APPROVED
T-8289,A-4178,A-2779,M-3223,2.24,USD,ECOM,10/10/2024 16:40,APPROVED
T-8290,A-5084,A-3810,M-3234,52.72,USD,WIRE,04/13/2025,APPROVED
T-8291,A-3628,A-3097,M-3489,42.96,USD,POS,2025-02-11T22:14:06,APPROVED
T-8292,A-3973,A-3259,M-3183,15.42,USD,WIRE,2024-05-22T08:03:52,APPROVED
