login_id,customer_id,device_id,geo_id,ts,channel,result
L-7074,C-2402,D-4336,G-5758,2024-08-17,IVR,MFA_CHALLENGE
L-7075,C-2232,D-4313,G-6476,2024-02-02,WEB,FAIL
L-7076,C-2102,D-4728,G-5371,07/28/2024,WEB,MFA_CHALLENGE
L-7077,C-1155,D-4525,G-5700,2024-09-23 06:23:38,IVR,FAIL
L-7078,C-2108,D-4140,G-5671,2024-12-08 21:25:43,WEB,MFA_CHALLENGE
L-7079,C-1647,D-4529,G-5940,2024-11-26,MOBILE,MFA_CHALLENGE
L-7080,C-2308,D-4078,G-6041,2024-04-18T11:19:45,IVR,FAIL
L-7081,C-1038,D-4005,G-6053,2024-12-13 07:22:36,MOBILE,FAIL
L-7082,C-1664,D-4278,G-5759,06/05/2025,IVR,FAIL
L-7083,C-1639,D-4397,G-5999,2024-04-23 00:17:12,WEB,MFA_CHALLENGE
L-7084,C-1975,D-4237,G-5763,2024-08-26T09:16:03,WEB,SUCCESS
L-7085,C-2006,D-4351,G-5033,10/12/2024 20:44,MOBILE,SUCCESS
L-7086,C-1546,D-4533,G-6063,06/29/2025,WEB,SUCCESS
L-7087,C-2474,D-4393,G-6155,07/01/2024,MOBILE,SUCCESS
L-7088,C-2044,D-4341,G-5058,2025-07-21T02:26:53,MOBILE,MFA_CHALLENGE
L-7089,C-2573,D-4315,G-6269,2024-09-23T11:52:45,MOBILE,MFA_CHALLENGE
L-7090,C-2339,D-4726,G-5331,2024-07-04,IVR,FAIL
L-7091,C-1831,D-4353,G-6170,2024-02-07 14:07:42,WEB,FAIL
L-7092,C-1043,D-4115,G-6199,2024-04-29 07:09:36,IVR,FAIL
L-7093,C-2818,D-4253,G-6153,2024-10-15 13:31:30,IVR,MFA_CHALLENGE
L-7094,C-2847,D-4617,G-5751,09/05/2024 01:24,WEB,MFA_CHALLENGE
L-7095,C-2179,D-4202,G-6370,2025-01-24,WEB,MFA_CHALLENGE
L-7096,C-2638,D-4023,G-5021,2024-03-07T10:24:41,MOBILE,MFA_CHALLENGE
L-7097,C-2515,D-4757,G-5375,2024-12-18 02:42:14,IVR,SUCCESS
L-7098,C-2253,D-4709,G-5016,2024-03-15,WEB,MFA_CHALLENGE
L-7099,C-2354,D-4146,G-5005,05/22/2025 18:35,WEB,MFA_CHALLENGE
L-7100,C-2350,D-4435,G-6034,2024-02-03,MOBILE,SUCCESS
L-7101,C-1745,D-4352,G-5815,2024-06-20 11:01:37,WEB,SUCCESS
L-7102,C-1667,D-4720,G-5903,08/17/2024 17:08,MOBILE,SUCCESS
L-7103,C-1329,D-4625,G-5475,04/09/2024 18:14,WEB,FAIL
L-7104,C-1185,D-4539,G-5172,06/18/2025,WEB,MFA_CHALLENGE
L-7105,C-1628,D-4271,G-6120,2024-10-15 04:37:58,IVR,SUCCESS
L-7106,C-2380,D-4077,G-5236,2024-02-19T15:38:19,IVR,MFA_CHALLENGE
L-7107,C-1882,D-4159,G-5477,2024-05-17,MOBILE,MFA_CHALLENGE
L-7108,C-2487,D-4414,G-6043,12/16/2024,WEB,MFA_CHALLENGE
L-7109,C-1580,D-4755,G-5544,06/10/2024 15:06,MOBILE,FAIL
L-7110,C-2339,D-4531,G-5222,2025-02-09 21:18:02,MOBILE,FAIL
L-7111,C-2119,D-4358,G-5373,02/04/2024,MOBILE,MFA_CHALLENGE
L-7112,C-1591,D-4030,G-5358,2024-03-18T06:59:51,MOBILE,SUCCESS
L-7113,C-1456,D-4540,G-5574,2024-03-23,MOBILE,MFA_CHALLENGE
L-7114,C-2140,D-4748,G-6008,02/10/2024 05:48,MOBILE,SUCCESS
L-7115,C-2079,D-4125,G-5295,2024-09-29 23:42:04,IVR,FAIL
L-7116,C-1470,D-4537,G-5340,2025-03-03 13:53:10,WEB,SUCCESS
L-7117,C-1317,D-4697,G-5047,2025-07-11,IVR,SUCCESS
L-7118,C-2519,D-4197,G-5042,2024-07-13T20:51:07,WEB,MFA_CHALLENGE
L-7119,C-2962,D-4670,G-5231,01/07/2025 10:54,MOBILE,SUCCESS
L-7120,C-1733,D-4567,G-5285,2025-07-18T09:47:12,IVR,MFA_CHALLENGE
L-7121,C-2406,D-4623,G-6323,07/26/2025 20:52,MOBILE,MFA_CHALLENGE
L-7122,C-1295,D-4191,G-5874,2025-06-28T12:35:26,IVR,SUCCESS
L-7123,C-1468,D-4039,G-5761,2024-12-29T06:11:16,IVR,SUCCESS
L-7124,C-1431,D-4669,G-5551,03/22/2024,WEB,SUCCESS
L-7125,C-1908,D-4031,G-5379,2025-01-30,WEB,SUCCESS
L-7126,C-1748,D-4485,G-5876,11/06/2024 13:23,MOBILE,FAIL
L-7127,C-1381,D-4676,G-6359,2025-03-15 21:19:44,IVR,SUCCESS
L-7128,C-2923,D-4427,G-6333,04/29/2025 23:44,IVR,SUCCESS
L-7129,C-1641,D-4121,G-6244,08/27/2024,WEB,SUCCESS
L-7130,C-2577,D-4045,G-5994,04/23/2024,IVR,FAIL
L-7131,C-1529,D-4110,G-5216,07/09/2025 12:24,IVR,SUCCESS
L-7132,C-2674,D-4280,G-5058,12/20/2024,MOBILE,MFA_CHALLENGE
L-7133,C-2087,D-4081,G-5579,05/10/2025,IVR,FAIL
L-7134,C-1135,D-4140,G-6275,02/16/2024 19:03,IVR,MFA_CHALLENGE
L-7135,C-1955,D-4063,G-6439,2025-07-25,WEB,MFA_CHALLENGE
L-7136,C-2654,D-4346,G-5759,09/08/2024,MOBILE,SUCCESS
L-7137,C-2279,D-4670,G-5154,2024-04-15,IVR,SUCCESS
L-7138,C-1620,D-4733,G-6391,08/29/2024,MOBILE,MFA_CHALLENGE
L-7139,C-2982,D-4055,G-6481,2025-06-14 00:55:30,WEB,SUCCESS
L-7140,C-2270,D-4767,G-5723,2024-12-24,IVR,SUCCESS
L-7141,C-2804,D-4222,G-5768,2025-06-21T08:19:16,IVR,FAIL
L-7142,C-2200,D-4041,G-5940,2024-08-25 15:41:34,WEB,FAIL
L-7143,C-2502,D-4520,G-5800,2025-05-07T16:31:02,MOBILE,SUCCESS
L-7144,C-2870,D-4253,G-5221,2024-02-06 20:26:02,MOBILE,FAIL
L-7145,C-2400,D-4367,G-5366,05/06/2024,MOBILE,MFA_CHALLENGE
L-7146,C-1285,D-4390,G-5168,2025-01-13T00:30:40,IVR,FAIL
L-7147,C-1900,D-4776,G-5847,2024-04-04,IVR,SUCCESS
L-7148,C-2578,D-4308,G-5564,2025-01-05T01:02:51,WEB,MFA_CHALLENGE
L-7149,C-2674,D-4411,G-5693,2025-06-25T00:39:56,IVR,SUCCESS
L-7150,C-1364,D-4225,G-6007,2024-11-15,MOBILE,FAIL
L-7151,C-2131,D-4529,G-5351,2025-07-31 23:34:47,WEB,SUCCESS
L-7152,C-1700,D-4241,G-6165,03/07/2025 18:21,WEB,MFA_CHALLENGE
L-7153,C-1717,D-4050,G-6311,2024-03-30T13:00:40,WEB,SUCCESS
L-7154,C-2996,D-4684,G-5395,09/21/2024,WEB,SUCCESS
L-7155,C-2239,D-4769,G-6106,07/04/2025,WEB,SUCCESS
L-7156,C-2825,D-4157,G-5999,2024-12-17T21:44:15,MOBILE,MFA_CHALLENGE
L-7157,C-1942,D-4330,G-5913,02/17/2025 21:26,WEB,MFA_CHALLENGE
L-7158,C-2422,D-4725,G-5432,01/06/2024 06:28,MOBILE,SUCCESS
L-7159,C-2579,D-4142,G-5454,03/02/2025,MOBILE,SUCCESS
L-7160,C-2183,D-4192,G-6153,01/24/2025 04:59,MOBILE,FAIL
L-7161,C-2967,D-4280,G-5463,2025-06-24 15:42:17,IVR,MFA_CHALLENGE
L-7162,C-2578,D-4406,G-5048,03/23/2024 13:30,MOBILE,FAIL
L-7163,C-1742,D-4575,G-5409,05/07/2024 22:25,MOBILE,SUCCESS
L-7164,C-2733,D-4105,G-5553,2024-04-08 17:28:39,MOBILE,FAIL
L-7165,C-2445,D-4063,G-5372,05/08/2024,IVR,SUCCESS
L-7166,C-2324,D-4414,G-5060,2024-08-11 22:02:05,WEB,FAIL
L-7167,C-2452,D-4651,G-5195,05/27/2025 05:30,MOBILE,SUCCESS
L-7168,C-2551,D-4052,G-5277,2025-01-18 04:43:23,WEB,FAIL
L-7169,C-2623,D-4471,G-6375,03/29/2025 14:37,WEB,FAIL
L-7170,C-2205,D-4786,G-5650,2024-06-14,IVR,FAIL
L-7171,C-1738,D-4673,G-5850,2024-07-17T08:29:32,IVR,FAIL
L-7172,C-1851,D-4280,G-5744,06/23/2025,WEB,SUCCESS
L-7173,C-1444,D-4376,G-5034,2024-05-12T05:44:36,WEB,FAIL
L-7174,C-2068,D-4286,G-5326,12/18/2024 14:04,IVR,SUCCESS
L-7175,C-1834,D-4022,G-6033,2025-06-25 01:52:03,MOBILE,MFA_CHALLENGE
L-7176,C-1391,D-4209,G-5069,2024-10-07T02:00:06,IVR,MFA_CHALLENGE
L-7177,C-1146,D-4298,G-5078,2024-03-03 17:51:25,WEB,FAIL
L-7178,C-2606,D-4673,G-5845,2024-02-05T21:50:37,IVR,FAIL
L-7179,C-2471,D-4303,G-5902,07/03/2024,MOBILE,MFA_CHALLENGE
L-7180,C-1679,D-4365,G-5353,2024-03-26 20:29:24,IVR,MFA_CHALLENGE
L-7181,C-2409,D-4651,G-5377,06/01/2025,WEB,SUCCESS
L-7182,C-2390,D-4644,G-5943,2024-10-18T19:27:56,WEB,SUCCESS
L-7183,C-1437,D-4792,G-5827,06/20/2025,WEB,FAIL
L-7184,C-2597,D-4491,G-6234,2024-12-21T02:44:29,WEB,FAIL
L-7185,C-2551,D-4435,G-5370,2025-03-01 04:49:01,MOBILE,MFA_CHALLENGE
L-7186,C-2044,D-4044,G-5448,2024-10-06,WEB,SUCCESS
L-7187,C-2335,D-4236,G-6443,2025-01-27,IVR,MFA_CHALLENGE
L-7188,C-2081,D-4143,G-5480,2024-06-21,MOBILE,MFA_CHALLENGE
L-7189,C-2195,D-4712,G-5303,2025-06-24T07:15:57,IVR,MFA_CHALLENGE
L-7190,C-2802,D-4453,G-6335,2024-02-24 05:11:44,WEB,SUCCESS
L-7191,C-2581,D-4765,G-5700,2024-01-11,MOBILE,FAIL
L-7192,C-2493,D-4700,G-5435,06/10/2024 21:47,IVR,SUCCESS
L-7193,C-2253,D-4589,G-6175,04/13/2025,IVR,SUCCESS
L-7194,C-2885,D-4412,G-6042,09/30/2024 14:50,WEB,MFA_CHALLENGE
L-7195,C-1535,D-4085,G-5901,2024-09-26 23:05:04,MOBILE,SUCCESS
L-7196,C-1124,D-4649,G-6234,2024-05-11T11:58:02,WEB,FAIL
L-7197,C-2668,D-4419,G-6189,2024-02-02T12:45:54,WEB,FAIL
L-7198,C-2201,D-4788,G-5623,09/03/2024 23:36,IVR,MFA_CHALLENGE
L-7199,C-1805,D-4229,G-5421,06/06/2025 18:59,IVR,MFA_CHALLENGE
L-7200,C-2493,D-4465,G-5749,12/02/2024,MOBILE,SUCCESS
L-7201,C-1200,D-4759,G-5653,07/01/2025,MOBILE,SUCCESS
L-7202,C-1382,D-4208,G-5283,02/07/2025,WEB,MFA_CHALLENGE
L-7203,C-2732,D-4011,G-5128,02/15/2024,MOBILE,MFA_CHALLENGE
L-7204,C-2000,D-4127,G-5834,2024-04-12 06:17:46,MOBILE,FAIL
L-7205,C-1949,D-4349,G-5469,2025-07-25,MOBILE,FAIL
L-7206,C-2323,D-4497,G-6071,07/04/2025 19:10,WEB,FAIL
L-7207,C-1070,D-4152,G-6419,2024-09-07,WEB,MFA_CHALLENGE
L-7208,C-2535,D-4298,G-5436,02/11/2025,IVR,FAIL
L-7209,C-1131,D-4426,G-6160,2025-06-28,WEB,MFA_CHALLENGE
L-7210,C-2669,D-4732,G-5216,09/25/2024 15:43,MOBILE,SUCCESS
L-7211,C-2481,D-4794,G-6131,2024-12-08 19:01:12,WEB,FAIL
L-7212,C-2320,D-4020,G-6153,2025-06-22T09:28:37,WEB,SUCCESS
L-7213,C-1011,D-4754,G-5712,09/13/2024 23:06,IVR,FAIL
L-7214,C-2945,D-4235,G-5933,03/15/2024 05:09,MOBILE,SUCCESS
L-7215,C-2646,D-4591,G-5590,04/11/2025,IVR,MFA_CHALLENGE
L-7216,C-1773,D-4733,G-6226,2024-02-03T03:54:22,WEB,FAIL
L-7217,C-2223,D-4742,G-5471,2024-02-07 23:24:48,WEB,MFA_CHALLENGE
L-7218,C-1118,D-4152,G-5559,2024-01-16T10:40:51,WEB,MFA_CHALLENGE
L-7219,C-2045,D-4252,G-5814,01/11/2024,MOBILE,MFA_CHALLENGE
L-7220,C-2660,D-4141,G-6035,2024-06-10T08:29:24,WEB,FAIL
L-7221,C-1172,D-4655,G-5111,2024-05-06,WEB,MFA_CHALLENGE
L-7222,C-1120,D-4189,G-6108,05/24/2025,MOBILE,FAIL
L-7223,C-1959,D-4469,G-6393,2024-02-03,WEB,SUCCESS
L-7224,C-2170,D-4417,G-5468,04/17/2024,MOBILE,MFA_CHALLENGE
L-7225,C-2539,D-4673,G-5722,2024-12-14,IVR,FAIL
L-7226,C-2349,D-4242,G-5160,2024-11-03,IVR,MFA_CHALLENGE
L-7227,C-2071,D-4165,G-5441,12/06/2024,WEB,SUCCESS
L-7228,C-2556,D-4279,G-5280,2025-04-26T11:49:25,WEB,MFA_CHALLENGE
L-7229,C-2403,D-4022,G-6434,2025-03-22T15:37:45,MOBILE,SUCCESS
L-7230,C-2903,D-4056,G-5767,06/11/2024 09:55,WEB,SUCCESS
L-7231,C-2793,D-4771,G-5452,07/18/2024 00:10,MOBILE,FAIL
L-7232,C-1388,D-4776,G-5804,2025-05-18 12:30:07,IVR,FAIL
L-7233,C-2631,D-4115,G-5542,2024-10-25 04:50:58,MOBILE,SUCCESS
L-7234,C-2703,D-4071,G-6356,2024-09-06,IVR,MFA_CHALLENGE
L-7235,C-1664,D-4524,G-5452,2024-07-21T14:58:24,IVR,MFA_CHALLENGE
L-7236,C-1628,D-4425,G-5118,2024-06-23,WEB,FAIL
L-7237,C-2074,D-4297,G-5545,2024-04-20 00:58:52,IVR,SUCCESS
L-7238,C-2185,D-4638,G-6085,02/10/2024,IVR,FAIL
L-7239,C-2446,D-4077,G-5537,08/22/2024 06:35,MOBILE,MFA_CHALLENGE
L-7240,C-1632,D-4522,G-5559,2025-02-18,MOBILE,FAIL
L-7241,C-2315,D-4213,G-5398,2024-09-08 09:18:59,MOBILE,FAIL
L-7242,C-1443,D-4361,G-5807,2024-03-27 04:25:47,IVR,MFA_CHALLENGE
L-7243,C-1680,D-4694,G-5246,2025-03-22T19:10:50,WEB,SUCCESS
L-7244,C-1604,D-4457,G-5400,2024-02-02,WEB,FAIL
L-7245,C-1699,D-4797,G-5808,10/31/2024 08:55,IVR,FAIL
L-7246,C-2263,D-4296,G-5435,2024-11-11 05:57:32,WEB,FAIL
L-7247,C-2426,D-4641,G-6494,11/15/2024 09:14,MOBILE,SUCCESS
L-7248,C-1852,D-4676,G-6052,05/02/2024,IVR,FAIL
L-7249,C-1357,D-4358,G-5086,04/09/2025,MOBILE,FAIL
L-7250,C-1511,D-4345,G-5520,11/11/2024 17:23,WEB,MFA_CHALLENGE
L-7251,C-1171,D-4362,G-5791,2024-03-26T18:24:56,MOBILE,SUCCESS
L-7252,C-1262,D-4517,G-5182,2024-03-10 10:15:26,MOBILE,MFA_CHALLENGE
L-7253,C-1564,D-4398,G-6009,04/26/2025 11:04,IVR,FAIL
L-7254,C-2387,D-4068,G-5479,2024-04-09 04:22:04,MOBILE,SUCCESS
L-7255,C-1347,D-4184,G-5478,10/21/2024 13:49,MOBILE,MFA_CHALLENGE
L-7256,C-1935,D-4145,G-5526,03/24/2024 03:27,IVR,SUCCESS
L-7257,C-1263,D-4366,G-6292,05/18/2024 22:12,WEB,FAIL
L-7258,C-1551,D-4631,G-6266,2024-04-08 13:04:48,IVR,MFA_CHALLENGE
L-7259,C-2676,D-4335,G-6224,2024-04-12T02:39:45,MOBILE,MFA_CHALLENGE
L-7260,C-2390,D-4406,G-5750,12/05/2024 12:15,IVR,MFA_CHALLENGE
L-7261,C-2726,D-4565,G-6095,10/05/2024 07:24,WEB,FAIL
L-7262,C-1518,D-4002,G-5506,08/12/2024 20:24,WEB,SUCCESS
L-7263,C-2868,D-4061,G-6470,2025-05-09 02:09:11,IVR,FAIL
L-7264,C-1798,D-4777,G-6445,2025-07-24,WEB,SUCCESS
L-7265,C-1697,D-4260,G-6058,2025-05-24,MOBILE,MFA_CHALLENGE
L-7266,C-2317,D-4011,G-6405,05/01/2025,IVR,SUCCESS
L-7267,C-2588,D-4487,G-5922,01/14/2024 03:12,MOBILE,MFA_CHALLENGE
L-7268,C-2395,D-4477,G-6485,2024-09-30 17:54:28,MOBILE,MFA_CHALLENGE
L-7269,C-1411,D-4553,G-5780,02/21/2025 09:15,IVR,FAIL
L-7270,C-1474,D-4157,G-5600,07/03/2024 03:54,MOBILE,SUCCESS
L-7271,C-2384,D-4212,G-6313,01/30/2025 01:14,MOBILE,SUCCESS
L-7272,C-2046,D-4525,G-5866,2025-05-25 06:10:10,MOBILE,FAIL
L-7273,C-1353,D-4423,G-5510,2024-02-01T11:44:59,WEB,SUCCESS
L-7274,C-1291,D-4406,G-5152,07/17/2025 01:16,WEB,FAIL
L-7275,C-2685,D-4176,G-6369,2025-03-02,MOBILE,SUCCESS
L-7276,C-1541,D-4550,G-5434,01/07/2024,IVR,FAIL
L-7277,C-2163,D-4545,G-6220,2024-11-22,MOBILE,MFA_CHALLENGE
L-7278,C-1348,D-4180,G-5515,2024-08-22T22:53:46,MOBILE,FAIL
L-7279,C-1795,D-4248,G-6089,04/22/2024,WEB,MFA_CHALLENGE
L-7280,C-2759,D-4528,G-5381,2025-05-12,MOBILE,SUCCESS
L-7281,C-1730,D-4437,G-5961,02/17/2024,IVR,FAIL
L-7282,C-1660,D-4121,G-5483,2024-10-05 22:10:48,IVR,FAIL
L-7283,C-2400,D-4307,G-5580,2024-06-09T11:31:51,WEB,FAIL
L-7284,C-1424,D-4130,G-6356,2025-01-17,WEB,MFA_CHALLENGE
L-7285,C-1333,D-4542,G-6288,09/19/2024,IVR,SUCCESS
L-7286,C-1017,D-4121,G-5052,2025-02-01T01:43:03,IVR,SUCCESS
L-7287,C-2993,D-4138,G-5879,05/05/2025 04:06,MOBILE,FAIL
L-7288,C-1532,D-4064,G-6033,2025-04-06 15:16:56,IVR,FAIL
L-7289,C-2040,D-4365,G-6451,11/24/2024 20:03,IVR,FAIL
L-7290,C-2300,D-4188,G-5399,2024-06-04T03:38:08,MOBILE,FAIL
L-7291,C-2042,D-4347,G-5457,02/18/2024 05:29,WEB,SUCCESS
L-7292,C-1427,D-4631,G-6185,2024-07-31,WEB,MFA_CHALLENGE
L-7293,C-2278,D-4299,G-5168,2025-07-05T03:56:03,IVR,FAIL
L-7294,C-1864,D-4452,G-6351,2025-04-03T22:57:28,WEB,MFA_CHALLENGE
L-7295,C-1339,D-4712,G-6096,07/03/2025 18:01,WEB,FAIL
L-7296,C-2848,D-4571,G-6255,04/30/2025 06:07,WEB,FAIL
L-7297,C-1784,D-4235,G-5805,12/18/2024,MOBILE,MFA_CHALLENGE
L-7298,C-1488,D-4189,G-5830,08/07/2024,IVR,MFA_CHALLENGE
L-7299,C-2585,D-4687,G-5396,2024-12-23 08:40:45,MOBILE,SUCCESS
L-7300,C-2838,D-4492,G-6320,10/30/2024 14:29,IVR,FAIL
L-7301,C-1939,D-4613,G-5966,03/27/2024 01:45,IVR,MFA_CHALLENGE
L-7302,C-2000,D-4177,G-5350,2024-06-14 12:55:39,WEB,SUCCESS
L-7303,C-1018,D-4439,G-6117,2025-07-25,IVR,FAIL
L-7304,C-1968,D-4565,G-5582,2025-04-11T14:09:31,MOBILE,SUCCESS
L-7305,C-2799,D-4005,G-5426,2025-04-10T13:30:53,WEB,MFA_CHALLENGE
L-7306,C-1087,D-4203,G-5081,07/31/2024,IVR,SUCCESS
L-7307,C-1288,D-4607,G-6441,12/09/2024 20:00,MOBILE,SUCCESS
L-7308,C-1609,D-4705,G-5370,2024-03-08T01:12:41,MOBILE,SUCCESS
L-7309,C-1951,D-4344,G-5885,05/16/2024 16:23,IVR,FAIL
L-7310,C-2973,D-4208,G-6375,2025-04-27 06:58:55,WEB,FAIL
L-7311,C-1486,D-4656,G-6119,2024-05-01 05:14:24,MOBILE,SUCCESS
L-7312,C-2532,D-4080,G-6151,2024-03-11,IVR,FAIL
L-7313,C-1351,D-4609,G-6365,2024-12-01T11:36:15,WEB,SUCCESS
L-7314,C-1923,D-4234,G-6188,2025-03-21T23:29:24,IVR,SUCCESS
L-7315,C-1968,D-4314,G-5626,2025-07-10 04:54:56,WEB,MFA_CHALLENGE
L-7316,C-1554,D-4285,G-5797,2024-12-07T22:19:15,WEB,MFA_CHALLENGE
L-7317,C-1161,D-4769,G-5323,2025-03-24 02:33:37,MOBILE,FAIL
L-7318,C-1902,D-4734,G-5519,01/14/2024,MOBILE,MFA_CHALLENGE
L-7319,C-2176,D-4217,G-5433,02/06/2024 15:11,IVR,FAIL
L-7320,C-2919,D-4014,G-5618,2025-04-13 09:46:49,WEB,SUCCESS
L-7321,C-1355,D-4027,G-5031,2024-09-03,IVR,MFA_CHALLENGE
L-7322,C-2961,D-4458,G-5707,2024-07-13 21:44:00,WEB,FAIL
L-7323,C-1728,D-4321,G-5058,2025-07-09T04:31:09,MOBILE,SUCCESS
