txn_id,src_account_id,dst_account_id,amount,currency,channel,ts,status,merchant_id
T-6061,A-2405,A-2040,1940.05,USD,ATM,2025-04-27T14:32:11,FAILED,M-3142
T-6062,A-2450,A-2407,3869.52,USD,MOBILE,2025-06-20T08:07:49,SUCCESS,M-3077
T-6063,A-2432,A-2301,4595.57,USD,ATM,2024-09-03T21:11:02,FAILED,M-3156
T-6064,A-2661,A-2462,3614.62,USD,ATM,2024-01-23T11:44:41,PENDING,M-3023
T-6065,A-2559,A-2138,2070.73,USD,POS,2025-05-01T00:49:14,SUCCESS,M-3100
T-6066,A-2464,A-2604,4479.5,USD,POS,2024-10-02T10:01:43,FAILED,M-3182
T-6067,A-2331,A-2664,3983.45,USD,POS,2023-09-04T13:03:49,SUCCESS,M-3182
T-6068,A-2460,A-2649,431.11,USD,WIRE,2023-11-16T20:10:44,PENDING,M-3092
T-6069,A-2163,A-2387,1906.13,USD,ONLINE,2025-07-06T22:49:27,PENDING,M-3140
T-6070,A-2675,A-2153,4344.75,USD,POS,2025-07-13T09:39:58,FAILED,M-3041
T-6071,A-2315,A-2316,3844.31,USD,ONLINE,2023-09-19T18:31:31,PENDING,M-3186
T-6072,A-2185,A-2120,4802.37,USD,WIRE,2023-10-18T19:57:36,FAILED,M-3033
T-6073,A-2012,A-2469,4277.78,USD,POS,2024-01-16T18:14:49,PENDING,M-3127
T-6074,A-2505,A-2243,2946.37,USD,MOBILE,2025-06-21T02:27:56,FAILED,M-3055
T-6075,A-2452,A-2081,3002.51,USD,WIRE,2024-04-11T03:44:57,FAILED,M-3153
T-6076,A-2634,A-2643,4101.51,USD,POS,2025-05-17T05:05:20,SUCCESS,M-3142
T-6077,A-2151,A-2056,1748.35,USD,POS,2024-05-27T09:14:07,PENDING,M-3167
T-6078,A-2591,A-2617,1658.9,USD,POS,2025-06-21T13:20:31,SUCCESS,M-3076
T-6079,A-2426,A-2182,3362.09,USD,WIRE,2024-08-22T06:46:22,PENDING,M-3041
T-6080,A-2575,A-2181,3747.93,USD,POS,2023-11-08T02:26:34,SUCCESS,M-3116
T-6081,A-2306,A-2330,4488.16,USD,MOBILE,2024-10-20T12:43:31,PENDING,M-3094
T-6082,A-2066,A-2299,677.06,USD,ONLINE,2023-11-06T12:31:14,PENDING,M-3120
T-6083,A-2423,A-2537,3480.67,USD,POS,2025-08-03T07:55:18,SUCCESS,M-3053
T-6084,A-2585,A-2644,4936.01,USD,WIRE,2024-06-12T15:59:21,PENDING,M-3135
T-6085,A-2294,A-2437,4239.75,USD,WIRE,2024-11-02T16:52:14,PENDING,M-3155
T-6086,A-2638,A-2362,3073.38,USD,WIRE,2023-10-08T03:03:55,PENDING,M-3033
T-6087,A-2647,A-2509,4040.86,USD,ATM,2024-06-20T10:06:46,PENDING,M-3126
T-6088,A-2297,A-2198,595.44,USD,POS,2025-03-29T07:11:02,PENDING,M-3000
T-6089,A-2212,A-2630,2073.14,USD,ONLINE,2025-08-05T17:54:07,PENDING,M-3106
T-6090,A-2652,A-2217,3204.89,USD,ONLINE,2025-01-15T14:23:26,SUCCESS,M-3002
T-6091,A-2315,A-2307,2752.22,USD,POS,2025-05-15T11:34:12,PENDING,M-3129
T-6092,A-2341,A-2349,3623.36,USD,POS,2023-11-04T22:44:59,SUCCESS,M-3101
T-6093,A-2198,A-2338,4611.79,USD,MOBILE,2024-12-02T20:10:15,SUCCESS,M-3086
T-6094,A-2661,A-2139,781.15,USD,WIRE,2024-04-11T20:31:55,FAILED,M-3123
T-6095,A-2473,A-2423,284.83,USD,ONLINE,2024-12-10T11:45:07,PENDING,M-3190
T-6096,A-2694,A-2323,2681.75,USD,WIRE,2024-11-09T21:38:04,PENDING,M-3142
T-6097,A-2339,A-2362,4848.22,USD,POS,2025-04-16T04:53:56,FAILED,M-3016
T-6098,A-2384,A-2641,4212.82,USD,WIRE,2024-11-17T19:39:55,FAILED,M-3136
T-6099,A-2191,A-2609,4323.65,USD,ONLINE,2023-11-24T14:44:14,PENDING,M-3029
T-6100,A-2032,A-2278,438.55,USD,ONLINE,2024-01-20T21:40:01,FAILED,M-3105
T-6101,A-2309,A-2221,1515.08,USD,ONLINE,2025-08-04T23:33:55,SUCCESS,M-3134
T-6102,A-2206,A-2094,2532.44,USD,WIRE,2024-07-03T03:55:25,SUCCESS,M-3113
T-6103,A-2194,A-2348,3663.54,USD,ONLINE,2024-12-24T09:11:12,FAILED,M-3123
T-6104,A-2146,A-2100,3385.2,USD,ATM,2025-04-26T20:00:19,PENDING,M-3132
T-6105,A-2037,A-2470,3569.82,USD,POS,2025-03-10T22:18:41,SUCCESS,M-3099
T-6106,A-2318,A-2045,4241.38,USD,ONLINE,2024-06-11T19:23:11,FAILED,M-3175
T-6107,A-2047,A-2105,3832.07,USD,POS,2023-09-23T16:01:11,PENDING,M-3133
T-6108,A-2319,A-2654,1607.8,USD,ONLINE,2025-07-07T19:37:40,FAILED,M-3053
T-6109,A-2545,A-2326,2208.37,USD,ONLINE,2024-05-29T06:21:48,SUCCESS,M-3197
T-6110,A-2161,A-2280,81.21,USD,WIRE,2024-05-13T13:49:56,PENDING,M-3029
T-6111,A-2104,A-2211,1754.84,USD,ONLINE,2023-11-28T09:40:35,SUCCESS,M-3138
T-6112,A-2290,A-2587,860.52,USD,WIRE,2024-11-15T15:15:12,FAILED,M-3062
T-6113,A-2553,A-2454,654.72,USD,POS,2023-11-08T06:23:41,SUCCESS,M-3012
T-6114,A-2392,A-2055,2135.2,USD,WIRE,2025-01-29T09:35:53,PENDING,M-3022
T-6115,A-2644,A-2456,1781.34,USD,ATM,2025-05-19T00:33:50,PENDING,M-3157
T-6116,A-2686,A-2546,4868.54,USD,WIRE,2025-03-23T02:27:07,SUCCESS,M-3020
T-6117,A-2095,A-2479,2280.64,USD,MOBILE,2025-05-17T03:27:36,SUCCESS,M-3024
T-6118,A-2229,A-2147,1293.97,USD,MOBILE,2024-11-29T06:00:51,SUCCESS,M-3157
T-6119,A-2681,A-2338,2269.15,USD,POS,2024-02-15T11:18:41,FAILED,M-3083
T-6120,A-2115,A-2359,2308.9,USD,ONLINE,2025-06-03T19:38:24,FAILED,M-3122
T-6121,A-2618,A-2588,2542.21,USD,POS,2025-08-16T21:47:46,FAILED,M-3032
T-6122,A-2569,A-2665,3963.19,USD,MOBILE,2024-11-16T06:11:41,FAILED,M-3018
T-6123,A-2604,A-2423,3106.27,USD,ATM,2024-07-11T09:45:07,FAILED,M-3061
T-6124,A-2393,A-2067,1045.15,USD,MOBILE,2024-10-12T23:29:10,FAILED,M-3087
T-6125,A-2580,A-2350,3472.2,USD,POS,2024-07-31T18:51:47,PENDING,M-3139
T-6126,A-2587,A-2498,2962.85,USD,ONLINE,2023-10-28T20:30:29,PENDING,M-3029
T-6127,A-2099,A-2455,1543.64,USD,POS,2024-09-19T05:16:33,PENDING,M-3045
T-6128,A-2111,A-2610,4100.23,USD,MOBILE,2024-07-27T23:05:50,PENDING,M-3197
T-6129,A-2676,A-2062,1091.97,USD,WIRE,2025-05-05T00:32:33,PENDING,M-3023
T-6130,A-2000,A-2150,750.34,USD,ONLINE,2025-01-20T09:45:22,FAILED,M-3169
T-6131,A-2630,A-2591,982.35,USD,ONLINE,2024-09-12T01:34:00,PENDING,M-3114
T-6132,A-2695,A-2311,3590.37,USD,POS,2023-10-25T05:14:52,PENDING,M-3111
T-6133,A-2008,A-2626,2023.97,USD,ONLINE,2024-09-04T17:49:00,SUCCESS,M-3130
T-6134,A-2378,A-2562,9.21,USD,ONLINE,2023-09-01T14:41:40,SUCCESS,M-3013
T-6135,A-2288,A-2031,2161.42,USD,MOBILE,2024-10-16T02:17:48,PENDING,M-3060
T-6136,A-2325,A-2391,1910.92,USD,ATM,2023-09-04T11:19:09,PENDING,M-3103
T-6137,A-2177,A-2486,945.19,USD,ONLINE,2025-01-06T05:28:44,FAILED,M-3035
T-6138,A-2157,A-2295,632.12,USD,POS,2024-04-24T06:31:07,PENDING,M-3171
T-6139,A-2016,A-2147,4425.02,USD,ATM,2024-12-12T14:43:17,SUCCESS,M-3184
T-6140,A-2140,A-2657,4301.46,USD,MOBILE,2023-12-19T05:03:35,PENDING,M-3106
T-6141,A-2184,A-2465,2123.5,USD,MOBILE,2024-12-02T14:43:54,FAILED,M-3130
T-6142,A-2231,A-2190,3024.84,USD,MOBILE,2025-06-17T07:32:40,PENDING,M-3108
T-6143,A-2242,A-2513,2057.13,USD,WIRE,2024-02-01T00:30:45,FAILED,M-3068
T-6144,A-2034,A-2038,2418.92,USD,POS,2025-02-25T19:29:44,PENDING,M-3145
T-6145,A-2493,A-2081,3652.28,USD,ONLINE,2023-12-31T02:53:17,FAILED,M-3036
T-6146,A-2529,A-2080,4450.13,USD,ATM,2025-04-01T01:10:25,FAILED,M-3133
T-6147,A-2645,A-2679,395.02,USD,WIRE,2025-06-05T13:49:50,FAILED,M-3171
T-6148,A-2627,A-2054,2677.49,USD,MOBILE,2025-06-16T11:25:13,FAILED,M-3087
T-6149,A-2524,A-2480,3670.4,USD,ONLINE,2024-11-02T08:43:31,FAILED,M-3146
T-6150,A-2296,A-2171,3476.78,USD,ONLINE,2025-07-31T04:27:15,PENDING,M-3009
T-6151,A-2577,A-2266,3148.35,USD,ATM,2025-03-04T05:20:40,PENDING,M-3015
T-6152,A-2052,A-2672,4045.43,USD,POS,2025-04-24T12:08:14,FAILED,M-3074
T-6153,A-2496,A-2084,2530.45,USD,ONLINE,2025-06-14T19:34:21,SUCCESS,M-3032
T-6154,A-2630,A-2287,4290,USD,POS,2025-08-22T09:24:51,PENDING,M-3070
T-6155,A-2178,A-2605,759.92,USD,ONLINE,2024-06-05T13:34:02,SUCCESS,M-3189
T-6156,A-2267,A-2241,908.14,USD,POS,2023-09-08T23:31:19,FAILED,M-3124
T-6157,A-2086,A-2148,4670.04,USD,MOBILE,2024-09-10T11:10:34,FAILED,M-3152
T-6158,A-2392,A-2243,2203.72,USD,ATM,2025-08-08T21:55:24,PENDING,M-3169
T-6159,A-2353,A-2055,1325.66,USD,POS,2025-08-03T18:19:06,SUCCESS,M-3164
T-6160,A-2475,A-2408,1510.33,USD,ATM,2025-02-21T19:40:03,FAILED,M-3121
T-6161,A-2699,A-2399,1316.81,USD,MOBILE,2023-11-13T08:00:59,SUCCESS,M-3121
T-6162,A-2295,A-2459,3394.07,USD,POS,2024-12-04T17:22:44,SUCCESS,M-3097
T-6163,A-2544,A-2652,4781.14,USD,WIRE,2024-07-19T18:42:36,PENDING,M-3090
T-6164,A-2279,A-2343,1339.1,USD,ONLINE,2023-10-30T14:21:58,PENDING,M-3069
T-6165,A-2598,A-2400,3866.89,USD,WIRE,2023-12-23T22:40:50,SUCCESS,M-3118
T-6166,A-2532,A-2345,3452.94,USD,ONLINE,2024-11-27T14:25:08,PENDING,M-3173
T-6167,A-2010,A-2688,4159.29,USD,MOBILE,2024-02-13T10:41:43,SUCCESS,M-3002
T-6168,A-2537,A-2106,2232.48,USD,ONLINE,2024-02-03T18:17:01,FAILED,M-3175
T-6169,A-2197,A-2034,3098.89,USD,WIRE,2025-05-18T20:51:46,PENDING,M-3006
T-6170,A-2222,A-2613,613.34,USD,POS,2023-12-13T16:35:42,PENDING,M-3163
T-6171,A-2133,A-2384,3820.47,USD,ATM,2023-10-23T05:12:23,SUCCESS,M-3168
T-6172,A-2188,A-2259,2337.44,USD,MOBILE,2025-04-09T17:49:08,FAILED,M-3075
T-6173,A-2437,A-2683,3851.75,USD,ATM,2024-01-24T19:15:22,SUCCESS,M-3197
T-6174,A-2283,A-2063,1946.01,USD,ONLINE,2024-03-30T14:50:09,FAILED,M-3097
T-6175,A-2182,A-2451,2461.15,USD,WIRE,2024-11-16T08:02:36,FAILED,M-3017
T-6176,A-2182,A-2660,546.61,USD,MOBILE,2024-05-26T18:12:10,SUCCESS,M-3125
T-6177,A-2628,A-2658,4563.48,USD,POS,2023-12-31T07:40:58,SUCCESS,M-3027
T-6178,A-2074,A-2072,3639.09,USD,POS,2023-12-09T05:48:59,FAILED,M-3146
T-6179,A-2152,A-2668,9.33,USD,MOBILE,2023-09-28T06:10:32,FAILED,M-3163
T-6180,A-2155,A-2337,2875.33,USD,MOBILE,2024-11-05T11:59:54,FAILED,M-3100
T-6181,A-2446,A-2413,3905.78,USD,WIRE,2025-07-03T12:06:02,SUCCESS,M-3186
T-6182,A-2003,A-2393,4090.79,USD,POS,2025-06-24T05:44:03,PENDING,M-3176
T-6183,A-2548,A-2367,3410.77,USD,POS,2025-04-16T22:29:25,PENDING,M-3085
T-6184,A-2662,A-2092,2675.46,USD,POS,2025-05-15T10:37:17,FAILED,M-3093
T-6185,A-2296,A-2663,887.21,USD,MOBILE,2024-03-19T12:58:18,PENDING,M-3051
T-6186,A-2195,A-2306,1953.57,USD,ONLINE,2023-09-27T16:19:51,FAILED,M-3178
T-6187,A-2086,A-2647,3677.94,USD,POS,2025-01-24T15:33:25,SUCCESS,M-3112
T-6188,A-2025,A-2607,2448.72,USD,WIRE,2023-10-06T01:54:36,PENDING,M-3061
T-6189,A-2315,A-2511,4824.94,USD,POS,2025-05-29T19:01:20,SUCCESS,M-3136
T-6190,A-2347,A-2057,3939.95,USD,MOBILE,2024-02-08T03:49:30,SUCCESS,M-3086
T-6191,A-2216,A-2669,2617.98,USD,ATM,2024-08-31T20:06:45,PENDING,M-3170
T-6192,A-2593,A-2238,189.2,USD,MOBILE,2025-07-04T11:22:31,PENDING,M-3018
T-6193,A-2019,A-2482,233.78,USD,POS,2025-02-01T19:14:18,SUCCESS,M-3158
T-6194,A-2647,A-2051,4104.59,USD,MOBILE,2023-10-22T07:08:05,PENDING,M-3078
T-6195,A-2174,A-2605,4089.91,USD,POS,2025-08-22T07:00:55,FAILED,M-3016
T-6196,A-2609,A-2630,320.24,USD,MOBILE,2025-08-17T01:47:28,FAILED,M-3056
T-6197,A-2694,A-2411,608.41,USD,WIRE,2024-08-26T13:03:22,SUCCESS,M-3083
T-6198,A-2329,A-2218,232.7,USD,ONLINE,2024-09-14T20:08:44,SUCCESS,M-3195
T-6199,A-2123,A-2280,3788.96,USD,ONLINE,2024-06-03T16:21:52,PENDING,M-3036
T-6200,A-2168,A-2449,4628.75,USD,ATM,2024-10-05T03:07:29,SUCCESS,M-3062
T-6201,A-2647,A-2627,3889.42,USD,MOBILE,2024-10-31T04:00:07,SUCCESS,M-3096
T-6202,A-2006,A-2007,4631.05,USD,ONLINE,2024-05-23T10:49:52,FAILED,M-3045
T-6203,A-2487,A-2129,719.72,USD,WIRE,2024-06-20T21:06:37,FAILED,M-3052
T-6204,A-2421,A-2244,3054.64,USD,WIRE,2023-12-24T13:37:03,SUCCESS,M-3044
T-6205,A-2511,A-2626,3137.82,USD,ONLINE,2025-03-04T23:13:57,FAILED,M-3022
T-6206,A-2004,A-2571,963.55,USD,POS,2024-08-09T06:52:03,PENDING,M-3060
T-6207,A-2370,A-2552,1100.28,USD,ONLINE,2024-03-11T12:58:07,SUCCESS,M-3129
T-6208,A-2198,A-2115,3427.79,USD,MOBILE,2024-10-19T16:40:07,SUCCESS,M-3038
T-6209,A-2163,A-2686,274.87,USD,ONLINE,2023-08-31T22:15:26,SUCCESS,M-3011
T-6210,A-2445,A-2257,3086.01,USD,POS,2024-06-23T10:40:57,SUCCESS,M-3085
T-6211,A-2053,A-2550,794.44,USD,MOBILE,2024-07-01T19:23:16,PENDING,M-3045
T-6212,A-2118,A-2072,3608.41,USD,WIRE,2023-11-17T01:33:44,FAILED,M-3060
T-6213,A-2429,A-2203,3385.88,USD,ATM,2023-10-18T14:37:00,SUCCESS,M-3191
T-6214,A-2333,A-2233,1189.41,USD,ATM,2025-02-12T21:30:05,FAILED,M-3025
T-6215,A-2225,A-2075,2927.54,USD,MOBILE,2025-08-08T16:53:28,SUCCESS,M-3120
T-6216,A-2221,A-2624,894.41,USD,ATM,2025-07-22T17:42:43,FAILED,M-3116
T-6217,A-2198,A-2647,4877.9,USD,ONLINE,2024-01-14T09:27:31,SUCCESS,M-3091
T-6218,A-2032,A-2582,1406.62,USD,MOBILE,2025-07-29T14:06:43,FAILED,M-3015
T-6219,A-2428,A-2175,1721.16,USD,WIRE,2024-07-13T12:38:15,SUCCESS,M-3194
T-6220,A-2653,A-2626,2892.72,USD,ATM,2025-04-30T09:26:14,SUCCESS,M-3043
T-6221,A-2421,A-2534,4311.68,USD,WIRE,2025-03-23T20:22:29,FAILED,M-3125
T-6222,A-2473,A-2285,3651.44,USD,ATM,2023-12-06T13:18:00,FAILED,M-3003
T-6223,A-2444,A-2593,4459.65,USD,ATM,2025-03-08T10:29:58,PENDING,M-3056
T-6224,A-2005,A-2427,205.09,USD,WIRE,2023-09-21T01:26:23,SUCCESS,M-3011
T-6225,A-2435,A-2543,2398.95,USD,MOBILE,2025-01-12T04:11:59,FAILED,M-3100
T-6226,A-2246,A-2085,3766.63,USD,ATM,2024-02-20T20:42:34,SUCCESS,M-3142
T-6227,A-2367,A-2302,3239.96,USD,POS,2025-08-07T16:51:40,FAILED,M-3061
T-6228,A-2685,A-2312,3518.01,USD,WIRE,2023-10-11T19:32:50,SUCCESS,M-3041
T-6229,A-2465,A-2474,697.43,USD,ATM,2024-06-23T04:31:40,FAILED,M-3197
T-6230,A-2641,A-2475,3168.84,USD,MOBILE,2024-11-28T07:31:16,PENDING,M-3180
T-6231,A-2340,A-2543,1486.47,USD,WIRE,2025-06-01T08:58:29,PENDING,M-3008
T-6232,A-2589,A-2212,409.39,USD,POS,2024-06-09T09:59:27,PENDING,M-3175
T-6233,A-2690,A-2372,559.28,USD,MOBILE,2023-10-22T14:24:36,PENDING,M-3013
T-6234,A-2041,A-2374,880.46,USD,POS,2024-07-25T00:45:31,PENDING,M-3093
T-6235,A-2209,A-2141,1196.97,USD,MOBILE,2024-04-29T13:30:14,PENDING,M-3085
T-6236,A-2594,A-2214,3726.36,USD,ONLINE,2024-09-10T11:00:25,FAILED,M-3192
T-6237,A-2273,A-2515,2117.53,USD,POS,2025-01-30T21:35:59,FAILED,M-3174
T-6238,A-2353,A-2463,2509.74,USD,MOBILE,2023-11-07T00:49:14,PENDING,M-3124
T-6239,A-2544,A-2694,4497.76,USD,WIRE,2024-01-04T01:37:35,FAILED,M-3136
T-6240,A-2689,A-2067,4460.06,USD,POS,2023-11-20T03:12:26,SUCCESS,M-3048
T-6241,A-2400,A-2183,4791.49,USD,POS,2023-11-26T02:58:26,SUCCESS,M-3073
T-6242,A-2282,A-2114,744.03,USD,ATM,2024-10-30T03:41:36,PENDING,M-3178
T-6243,A-2642,A-2023,2085.6,USD,ATM,2024-07-26T19:32:54,FAILED,M-3075
T-6244,A-2355,A-2430,3689.86,USD,ONLINE,2023-10-02T21:33:29,SUCCESS,M-3113
T-6245,A-2064,A-2022,4175.56,USD,ONLINE,2025-06-02T09:07:12,FAILED,M-3059
T-6246,A-2592,A-2351,3232.03,USD,MOBILE,2025-01-07T04:01:48,PENDING,M-3167
T-6247,A-2681,A-2542,2229.06,USD,WIRE,2023-10-14T20:44:55,SUCCESS,M-3140
T-6248,A-2313,A-2175,1137.78,USD,ONLINE,2024-10-20T13:56:26,SUCCESS,M-3066
T-6249,A-2151,A-2361,2282.35,USD,WIRE,2023-10-29T03:40:57,SUCCESS,M-3072
T-6250,A-2548,A-2292,4866.16,USD,ATM,2025-07-25T00:09:54,SUCCESS,M-3046
T-6251,A-2119,A-2042,2874.75,USD,ONLINE,2023-11-28T21:19:16,FAILED,M-3081
T-6252,A-2188,A-2210,3537.14,USD,ONLINE,2025-01-25T19:31:16,SUCCESS,M-3143
T-6253,A-2381,A-2459,4877.45,USD,ONLINE,2025-03-15T11:12:14,SUCCESS,M-3138
T-6254,A-2025,A-2414,3843.75,USD,ONLINE,2023-12-06T21:42:58,SUCCESS,M-3127
T-6255,A-2004,A-2559,1659.75,USD,MOBILE,2025-06-27T05:57:51,FAILED,M-3129
T-6256,A-2587,A-2682,3998.88,USD,ONLINE,2025-01-26T13:12:58,PENDING,M-3037
T-6257,A-2115,A-2490,701.42,USD,POS,2025-02-28T09:23:24,FAILED,M-3010
T-6258,A-2025,A-2411,4205.18,USD,ONLINE,2025-01-08T14:30:36,SUCCESS,M-3158
T-6259,A-2334,A-2056,3208.36,USD,WIRE,2025-04-23T08:10:47,SUCCESS,M-3155
T-6260,A-2284,A-2200,422.53,USD,POS,2024-02-21T05:27:53,PENDING,M-3005
T-6261,A-2403,A-2199,1592.2,USD,WIRE,2025-07-06T01:01:17,SUCCESS,M-3125
T-6262,A-2682,A-2369,743.99,USD,ONLINE,2025-02-04T09:12:56,FAILED,M-3101
T-6263,A-2381,A-2012,1727.88,USD,MOBILE,2024-12-15T22:09:38,PENDING,M-3072
T-6264,A-2089,A-2220,4439.59,USD,MOBILE,2025-06-11T22:17:40,FAILED,M-3186
T-6265,A-2167,A-2434,4482.66,USD,WIRE,2024-12-11T08:32:18,PENDING,M-3186
T-6266,A-2088,A-2147,1519.64,USD,ONLINE,2025-08-14T22:30:27,SUCCESS,M-3053
T-6267,A-2604,A-2384,38.06,USD,MOBILE,2024-02-14T17:25:50,SUCCESS,M-3022
T-6268,A-2569,A-2473,2841.74,USD,ATM,2024-01-25T13:02:10,SUCCESS,M-3181
T-6269,A-2390,A-2296,2455.48,USD,WIRE,2023-10-11T14:43:58,FAILED,M-3141
T-6270,A-2505,A-2572,2319.94,USD,POS,2024-01-15T00:18:27,SUCCESS,M-3189
